applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['diagnose'],,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['diagnose', 'refer', 'treat']",,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['diagnose', 'treat']",,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,graph_rag,92e98184-f8d0-456f-8826-e77bc4cfa374
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,missing_expected_decision_labels,csm,d947f258-73aa-4012-87e1-7706d5a305ee
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,csm,263069d8-6a50-499c-953a-78cc45302961
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,rolling_summary,b0453bcb-b2ea-41bb-b986-485d2dbc521f
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,long_context,b1e6c286-91d7-4544-8a38-37774c6540ff
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,missing_expected_decision_labels,graph_rag,ee13d69e-8db6-4aa0-a80e-6ee78712258b
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['treat'],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,rolling_summary,1a121d5e-6578-4176-9a64-b7a205a83f78
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,dense_rag,5807771b-bfab-411a-b97f-7aaa208081c3
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['treat'],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,hybrid_rag,720d9123-527f-4d0d-8b02-ccada6b61f71
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['treat'],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,hippo_rag,93281d48-0ab2-4b9f-ad3d-8149d80de723
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,csm,a3ad416c-5400-4306-a009-0ba41bc63e90
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['treat'],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,graph_rag,b0ac1a3d-ccba-47dc-9d0a-b011e90f7b92
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['treat'],,decision_f1,,,SYN-CSM-003,07dad0fb-83da-47f4-9994-a025b0de8c54,4,missing_expected_decision_labels,long_context,cd2fd90f-1faf-450f-9392-d073d576d653
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,graph_rag,0e5ce13b-4182-453e-8896-f9c35f3b5a4e
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,hybrid_rag,220789e9-ac5b-49be-b431-f0dd911a3d7b
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,csm,640dcc39-fb69-4fec-8012-1341a3b6a525
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,dense_rag,98e02991-3f14-4280-bf8b-a5d3060c1e1f
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,long_context,b64715ed-fe85-44a7-b742-c12ad10a383d
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,hippo_rag,cd3cc352-700f-48ac-bf30-9df677e44581
False,decision_label_audit.csv,"missing_expected_decision_labels; expected=[] predicted=['diagnose', 'monitor', 'treat']",,decision_f1,,,SYN-CSM-003,c89f4283-5571-478e-9046-b564fa3cbd32,5,missing_expected_decision_labels,rolling_summary,f167c259-8e5b-4282-aae8-272f0be7fa83
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,9ad22abe-1acd-4e4d-bb71-4827ae2cb1a8,6,missing_expected_decision_labels,rolling_summary,08761f15-0dc9-4732-8fd9-e4db7eaccdd8
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,9ad22abe-1acd-4e4d-bb71-4827ae2cb1a8,6,missing_expected_decision_labels,dense_rag,3d6d655e-836d-43c1-8123-6e9d5a0d54c9
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,9ad22abe-1acd-4e4d-bb71-4827ae2cb1a8,6,missing_expected_decision_labels,hippo_rag,4f166522-c8f0-4f15-81be-21b870aeb0b5
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[],,decision_f1,,,SYN-CSM-003,9ad22abe-1acd-4e4d-bb71-4827ae2cb1a8,6,missing_expected_decision_labels,long_context,5d5b68e8-6527-41d2-985b-cca91f95cbad
