patient,metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3
SYN-CSM-002,state_accuracy,higher_is_better,weighted_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,2,0.0,2,NULL
SYN-CSM-002,temporal_consistency,higher_is_better,macro_mean,0.26666666666666666,5,0.3333333333333333,5,0.4666666666666666,5,0.3333333333333333,5,0.3333333333333333,5,0.26666666666666666,5,0.4,5,0.2,5,NULL
SYN-CSM-002,decision_f1,higher_is_better,macro_f1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,NULL
SYN-CSM-002,answer_accuracy,higher_is_better,macro_f1,0.08583333333333334,20,0.10333333333333332,20,0.17083333333333334,20,0.12083333333333332,20,0.12392246642246643,20,0.11444444444444443,20,0.12,20,0.12549019607843137,17,NULL
SYN-CSM-002,hallucination_rate,lower_is_better,weighted_ratio,0.225,20,0.0,20,0.08333333333333333,20,0.041666666666666664,20,0.0,20,0.0,20,0.075,20,0.2647058823529412,17,NULL
SYN-CSM-002,evidence_support_rate,higher_is_better,weighted_ratio,0.45833333333333337,20,0.5875,20,0.5833333333333334,20,0.5666666666666667,20,0.5966666666666667,20,0.5895833333333333,20,0.525,20,0.4656862745098039,17,NULL
SYN-CSM-002,unsupported_claim_rate,lower_is_better,weighted_ratio,0.225,20,0.0,20,0.08333333333333333,20,0.041666666666666664,20,0.0,20,0.0,20,0.075,20,0.2647058823529412,17,NULL
SYN-CSM-002,fabricated_citation_rate,lower_is_better,weighted_ratio,0.0,16,0.0,20,0.00909090909090909,20,0.0,20,0.0,20,0.0,20,0.0,19,0.0,14,NULL
SYN-CSM-002,faithfulness,higher_is_better,weighted_ratio,0.45833333333333337,20,0.5875,20,0.5833333333333334,20,0.5666666666666667,20,0.5966666666666667,20,0.5895833333333333,20,0.525,20,0.4656862745098039,17,NULL
SYN-CSM-002,groundedness,higher_is_better,weighted_mean,0.45833333333333337,20,0.5875,20,0.5833333333333334,20,0.5666666666666667,20,0.5966666666666667,20,0.5895833333333333,20,0.525,20,0.4656862745098039,17,NULL
SYN-CSM-002,expected_calibration_error,lower_is_better,bin_weighted_error,0.14107142857142857,14,0.03823529411764707,17,0.15964912280701757,19,0.12960526315789475,19,0.05515873015873015,18,0.06710526315789474,19,0.13094736842105262,19,0.19404761904761905,14,NULL
SYN-CSM-002,lineage_citation_f1,higher_is_better,macro_f1,0.053030303030303025,16,0.17406417112299463,20,0.2378998778998779,20,0.35428560002089415,20,0.3777718204734334,20,0.3561190443543385,20,0.11707152496626182,19,0.048809523809523817,14,NULL
SYN-CSM-002,contradiction_handling,higher_is_better,component_mean,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,NULL
SYN-CSM-002,correction_recovery,higher_is_better,success_rate,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,no_correction_case
SYN-CSM-002,retrieval_precision,higher_is_better,macro_precision_at_k,0.01875,20,0.17727272727272728,20,0.178302392052392,20,0.17662698412698413,20,0.16878968253968255,20,0.18181547619047617,20,0.05680555555555557,20,0.0325,20,NULL
SYN-CSM-002,retrieval_recall,higher_is_better,macro_recall_at_k,0.03125,20,0.2897829485329485,20,0.3568647787397787,20,0.4518963443963444,20,0.47635251322751326,20,0.49885251322751334,20,0.1480871212121212,20,0.03759057971014492,20,NULL
SYN-CSM-002,activation_precision,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.05680555555555557,20,0.0325,20,NULL
SYN-CSM-002,activation_recall,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.1480871212121212,20,0.03759057971014492,20,NULL
SYN-CSM-002,tokens_per_query,lower_is_better,mean,1522.1,20,2428.5,20,1975.7,20,2103.75,20,2180.6,20,2200.15,20,2836.25,20,2354.1,20,NULL
SYN-CSM-002,p95_latency,lower_is_better,p95,27091.0,20,66631.0,20,78456.0,20,127761.0,20,128301.0,20,128425.0,20,127248.0,20,32320.0,20,NULL
SYN-CSM-002,provider_generation_latency_ms,lower_is_better,mean,17976.55,20,31644.6,20,66873.25,20,99984.55,20,126885.2,20,126931.6,20,125439.85,20,26532.55,20,NULL
SYN-CSM-002,retrieval_activation_latency_ms,lower_is_better,mean,7.7,20,9.7,20,30.5,20,31.05,20,6.35,20,19.85,20,34.8,20,17.75,20,NULL
SYN-CSM-002,processing_latency_ms,lower_is_better,mean,17976.55,20,31644.6,20,66873.25,20,99984.55,20,126885.2,20,126931.6,20,125439.85,20,26532.55,20,NULL
SYN-CSM-002,operational_wall_clock_latency_ms,lower_is_better,mean,17984.25,20,31654.3,20,66903.75,20,100015.6,20,126891.55,20,126951.45,20,125474.65,20,26550.3,20,NULL
SYN-CSM-002,online_query_cost,lower_is_better,mean,0.000363225,20,0.0005432175,20,0.0004886175,20,0.000500355,20,0.0004987424999999999,20,0.00052026,20,0.000588765,20,0.0004966425,20,NULL
SYN-CSM-002,offline_csm_update_cost,lower_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,20,0.0,20,NULL
SYN-CSM-002,total_cost,lower_is_better,sum,0.0072645,20,0.01086435,20,0.009772349999999999,20,0.0100071,20,0.009974849999999999,20,0.0104052,20,0.011775299999999999,20,0.00993285,20,NULL
SYN-CSM-002,memory_update_accuracy,higher_is_better,macro_f1,0.75,2,0.75,2,0.25,2,0.25,2,0.25,2,0.75,2,0.5,2,0.25,2,NULL
SYN-CSM-002,state_recovery_time,lower_is_better,median_with_censoring,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,no_recovered_correction_state
