patient,question_id,question_number,system,turn_id,metric_name,observation_value,applicable,reason_not_applicable,numerator,denominator,audit_file,calculation_reason
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,temporal_consistency,NULL,False,missing_temporal_ground_truth,NULL,NULL,temporal_assertion_audit.csv,missing_temporal_ground_truth
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['diagnose']
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,correction_recovery,NULL,False,no_correction_case,NULL,NULL,correction_recovery_audit.csv,no_correction_case
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,temporal_consistency,NULL,False,missing_temporal_ground_truth,NULL,NULL,temporal_assertion_audit.csv,missing_temporal_ground_truth
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,correction_recovery,0.0,True,NULL,NULL,NULL,correction_recovery_audit.csv,deterministic_correction_marker_score
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,temporal_consistency,NULL,False,missing_temporal_ground_truth,NULL,NULL,temporal_assertion_audit.csv,missing_temporal_ground_truth
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,correction_recovery,0.25,True,NULL,NULL,NULL,correction_recovery_audit.csv,deterministic_correction_marker_score
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v4,b529de87-4813-4ff0-b685-0d81d7ea728d,temporal_consistency,0.3333333333333333,True,NULL,NULL,NULL,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v4,b529de87-4813-4ff0-b685-0d81d7ea728d,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v4,b529de87-4813-4ff0-b685-0d81d7ea728d,correction_recovery,NULL,False,no_correction_case,NULL,NULL,correction_recovery_audit.csv,no_correction_case
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v4,840ec8c7-791a-470b-8a6c-23f27d18aa09,temporal_consistency,NULL,False,missing_temporal_ground_truth,NULL,NULL,temporal_assertion_audit.csv,missing_temporal_ground_truth
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v4,840ec8c7-791a-470b-8a6c-23f27d18aa09,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v4,840ec8c7-791a-470b-8a6c-23f27d18aa09,correction_recovery,NULL,False,no_correction_case,NULL,NULL,correction_recovery_audit.csv,no_correction_case
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v4,c17ac401-1a59-43a2-a566-28e92171d5b0,temporal_consistency,0.3333333333333333,True,NULL,NULL,NULL,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v4,c17ac401-1a59-43a2-a566-28e92171d5b0,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,46840edd-6bce-407b-a12a-85779c1bb659,6,csm_v4,c17ac401-1a59-43a2-a566-28e92171d5b0,correction_recovery,0.75,True,NULL,NULL,NULL,correction_recovery_audit.csv,deterministic_correction_marker_score
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v4,3cc6e53a-29db-4c24-afaa-f5c176b9d06b,temporal_consistency,0.6666666666666666,True,NULL,NULL,NULL,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v4,3cc6e53a-29db-4c24-afaa-f5c176b9d06b,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,d3288fc5-3083-472f-9d66-a08ee63b8153,7,csm_v4,3cc6e53a-29db-4c24-afaa-f5c176b9d06b,correction_recovery,0.75,True,NULL,NULL,NULL,correction_recovery_audit.csv,deterministic_correction_marker_score
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v4,90e5ea5a-64cc-40b6-a144-9121871c78d3,temporal_consistency,0.6666666666666666,True,NULL,NULL,NULL,temporal_assertion_audit.csv,temporal_markers_found_in_stored_answer
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v4,90e5ea5a-64cc-40b6-a144-9121871c78d3,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['monitor']
SYN-CSM-001,550a8de2-2845-4d0b-81e9-6d595d710722,8,csm_v4,90e5ea5a-64cc-40b6-a144-9121871c78d3,correction_recovery,1.0,True,NULL,NULL,NULL,correction_recovery_audit.csv,deterministic_correction_marker_score
SYN-CSM-001,84891faf-410d-4423-b28a-a28ecd4ec38f,9,csm_v4,784a89cd-1578-4757-ab46-ed7b9361bd65,temporal_consistency,NULL,False,missing_temporal_ground_truth,NULL,NULL,temporal_assertion_audit.csv,missing_temporal_ground_truth
SYN-CSM-001,84891faf-410d-4423-b28a-a28ecd4ec38f,9,csm_v4,784a89cd-1578-4757-ab46-ed7b9361bd65,decision_f1,NULL,False,missing_expected_decision_labels,NULL,NULL,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=[]
SYN-CSM-001,84891faf-410d-4423-b28a-a28ecd4ec38f,9,csm_v4,784a89cd-1578-4757-ab46-ed7b9361bd65,correction_recovery,NULL,False,no_correction_case,NULL,NULL,correction_recovery_audit.csv,no_correction_case
SYN-CSM-001,a9b00bb9-cd85-4100-96e8-d35aa8eba79e,10,csm_v4,d3e03f46-410a-4a57-951b-8aba07f9567b,temporal_consistency,NULL,False,missing_temporal_ground_truth,NULL,NULL,temporal_assertion_audit.csv,missing_temporal_ground_truth
