patient,question_number,question,question_type,source_cutoff,route_v4,readiness,expected_sources,retrieved_sources,relevant_sources,expected_count,retrieved_count,relevant_count,v2_recall,v4_precision,v4_recall,coverage_delta_vs_v2,item_count,evidence_item_count,historical_item_count,mandatory_support_evidence_count,correction_evidence_count,dependency_item_count,state_without_evidence_count,null_canonical_count,future_leak_count,current_superseded_count,token_count,route_budget,budget_pass,exact_source_fallback_present,rare_detail_fallback_present,correction_bundle_present,temporal_history_present,warnings
SYN-CSM-001,1,What active chronic conditions are recorded for this patient?,Current state,2026-01-10T23:59:59+05:30,state_first,ready,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""82436317-3f6d-48a5-98a1-fc7112135ff0""]",4,5,2,0.4,0.4,0.5,0.09999999999999998,8,5,0,5,0,0,0,0,0,0,1114,1600,True,False,False,True,True,"[""CSM v4 route=state_first; selected 11 items from 17 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,2,What was the baseline creatinine and eGFR on 10 January 2026?,Historical fact,2026-01-10T23:59:59+05:30,temporal_state,ready,"[""144815ec-2457-4f70-906b-db11c7129c10"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241""]","[""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""c3d6015f-74fc-43b3-bd0f-980791933814""]","[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""7c216ab9-482a-45e1-b674-ccae87dc3241""]",4,8,2,0.4,0.25,0.5,0.09999999999999998,14,8,0,6,0,0,0,0,0,0,2209,2400,True,False,False,True,True,"[""CSM v4 route=temporal_state; selected 14 items from 24 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,3,"Using only evidence available by 8 March, did renal function appear to worsen?",Future-leakage trap,2026-03-08T23:59:59+05:30,temporal_state,ready,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4f3333db-3165-4eda-92c3-3a26228909e8"", ""501fafdf-88fe-400c-b8fe-d49b391cc246"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""8240274e-a886-4f15-b679-10cce83b9649"", ""c23d39e1-9286-46a3-a956-39ee6c42831f""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3""]",[],10,8,0,0.0,0.0,0.0,0.0,14,8,0,7,1,0,0,0,0,0,2078,2400,True,False,False,True,True,"[""CSM v4 route=temporal_state; selected 14 items from 33 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,4,Which event occurred in the patient before the 5 March renal specimen but was recorded later?,Late-arriving evidence,2026-03-10T23:59:59+05:30,temporal_state,ready,"[""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""c23d39e1-9286-46a3-a956-39ee6c42831f"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1""]","[""818e76c5-3a83-4f81-bd9f-83b4c5f416d1""]",3,8,1,0.25,0.125,0.3333333333333333,0.08333333333333331,14,8,0,7,1,0,0,0,0,0,2198,2400,True,False,False,True,True,"[""CSM v4 route=temporal_state; selected 14 items from 36 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,5,How should the dehydration note change interpretation of the abnormal renal result?,Qualification,2026-03-10T23:59:59+05:30,temporal_state,ready,"[""4f3333db-3165-4eda-92c3-3a26228909e8"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""8240274e-a886-4f15-b679-10cce83b9649"", ""c23d39e1-9286-46a3-a956-39ee6c42831f""]","[""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1""]","[""818e76c5-3a83-4f81-bd9f-83b4c5f416d1""]",4,8,1,0.0,0.125,0.25,0.25,14,8,0,7,1,0,0,0,0,0,2198,2400,True,False,False,True,True,"[""CSM v4 route=temporal_state; selected 14 items from 36 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,6,"What values in the original 5 March report were superseded, and by what corrected values?",Correction recovery,2026-03-12T23:59:59+05:30,correction_state,ready,"[""4f3333db-3165-4eda-92c3-3a26228909e8"", ""501fafdf-88fe-400c-b8fe-d49b391cc246"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""8240274e-a886-4f15-b679-10cce83b9649""]","[""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""8240274e-a886-4f15-b679-10cce83b9649""]","[""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""8240274e-a886-4f15-b679-10cce83b9649""]",4,12,2,0.4,0.16666666666666666,0.5,0.09999999999999998,13,3,1,8,8,0,0,0,0,0,2278,2400,True,False,False,True,True,"[""CSM v4 route=correction_state; selected 13 items from 45 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,7,What is the latest valid renal assessment after the corrected report but before follow-up testing?,Latest valid fact,2026-03-12T23:59:59+05:30,correction_state,ready,"[""501fafdf-88fe-400c-b8fe-d49b391cc246"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""c23d39e1-9286-46a3-a956-39ee6c42831f""]","[""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8240274e-a886-4f15-b679-10cce83b9649""]",[],4,11,0,0.2,0.0,0.0,-0.2,14,4,1,9,8,0,0,0,0,0,2291,2400,True,False,False,True,True,"[""CSM v4 route=correction_state; selected 14 items from 45 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,8,What does the 20 March follow-up show about the renal trend?,Trend reasoning,2026-03-20T23:59:59+05:30,temporal_state,ready,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""6783c222-88d0-4316-9e5d-ef17041965b6""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]",[],4,9,0,0.0,0.0,0.0,0.0,15,9,0,8,1,0,0,0,0,0,2254,2400,True,False,False,True,True,"[""CSM v4 route=temporal_state; selected 15 items from 52 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,9,Which state should be recomputed when the renal-function state changes?,State dependency,2026-03-20T23:59:59+05:30,temporal_state,ready,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""782865e0-919b-4ccf-8e67-6b54d03bb0e8"", ""cc74c889-a026-4efa-91da-ce3cb7ad4a8e""]","[""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""100e6bd9-2555-45d8-975a-227392273059"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""f1883cf3-d2d5-4728-9eca-486d26f44798"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6""]",[],4,9,0,0.0,0.0,0.0,0.0,15,9,0,8,1,0,0,0,0,0,2249,2400,True,False,False,True,True,"[""CSM v4 route=temporal_state; selected 15 items from 52 valid candidates using mandatory+top-k activation.""]"
SYN-CSM-001,10,Should the chat claim that the patient definitely has severe chronic kidney disease become an active state?,Pending-review awareness,2026-03-20T23:59:59+05:30,decision_state,ready,"[""08d90b4c-3a9b-4967-b833-646cdd692864"", ""1fc69bd8-4618-4490-907f-73b196a1d564"", ""221eb9f5-a99e-4e55-8410-c1d6b8f3db86"", ""243d9771-2443-4f00-b0d1-f25ae134dde4"", ""280c5401-0a2c-4238-b4fd-ebeb86b763e3"", ""324be4cd-80f6-4397-a295-1d4d70da64b8"", ""4690bb80-2f20-431e-8dbc-5509d7fc5488"", ""70ea8ada-b7e5-4f9b-8f28-ce61f65883ca"", ""792bd93d-19a9-42f5-864f-43103aaef7f1"", ""7f7b2420-3265-4ea9-aaf7-2720c22198d5"", ""8603607f-34cc-49bf-a7c7-289bfd2c5e39"", ""90f0ba0e-b1cf-4872-bbdb-78e6465dcd6b"", ""95625d05-1ed4-46da-ab54-c616686485f8"", ""9a7a2cf0-4a32-49c0-b932-42fb13434e86"", ""9e93b37b-98dd-479e-a2fd-e482c8b37922"", ""9eaebc8d-52d0-42be-82c5-5903a91e818a"", ""9f475397-d3f8-44a1-97f2-6afdd6ca5dfe"", ""True"", ""a36dcf61-c801-4b2a-ba00-46774c62c28d"", ""a80e553a-c896-4b48-9acd-0a6ee51d8810"", ""ad612aff-f363-40bf-987c-10e4eb1a3fb8"", ""e9f2fb97-daec-4732-b497-fd5e3c9cf879"", ""ec897980-349e-4eec-9ade-a739d6f897dd"", ""f1fd4118-aac1-41e2-aec4-6d1febbf56de"", ""f2f39328-379f-41b4-9b8e-37422bf9774f"", ""f8ad9b6d-318a-4d81-9d5e-4745dc41d782"", ""fd1beb93-6c5a-4462-a534-b88349570fe4""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""144815ec-2457-4f70-906b-db11c7129c10""]",[],27,8,0,0.0,0.0,0.0,0.0,11,7,0,7,2,0,0,0,0,0,1683,2000,True,False,False,True,True,"[""CSM v4 route=decision_state; selected 13 items from 39 valid candidates using mandatory+top-k activation.""]"
