duration_ms,estimated_cost_usd,input_tokens,llm_call_id,model,output_tokens,provider,request_status,task_type,total_tokens,turn_id
4925,0.00028305,1191,15fada6f-75b2-4f92-83b2-9e9caad29507,openai/gpt-oss-120b,174,groq,completed,final_answer,1365,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
50352,0.00046679999999999996,2580,814e082c-940a-4884-81cc-deb7863014dc,openai/gpt-oss-120b,133,groq,completed,final_answer,2713,b1e6c286-91d7-4544-8a38-37774c6540ff
6719,0.00028605,1203,2688741d-f87e-45ec-a0f7-8c1c8675e71b,openai/gpt-oss-120b,176,groq,completed,final_answer,1379,cd2fd90f-1faf-450f-9392-d073d576d653
11521,0.00033,1208,aed2376d-b6a6-40a3-acb9-3593783947ec,openai/gpt-oss-120b,248,groq,completed,final_answer,1456,b64715ed-fe85-44a7-b742-c12ad10a383d
21054,0.00031065,1203,810bd4f8-3135-425c-8f2c-85b1a4a1015e,openai/gpt-oss-120b,217,groq,completed,final_answer,1420,5d5b68e8-6527-41d2-985b-cca91f95cbad
5125,0.0003576,1204,de3e78b7-6065-4737-957d-df3f384afe99,openai/gpt-oss-120b,295,groq,completed,final_answer,1499,39e73bfa-0157-4c1c-b597-6a7d487970da
27785,0.00029295,1197,e16a02c9-d385-4595-90b8-1fca98b4e4c0,openai/gpt-oss-120b,189,groq,completed,final_answer,1386,9cc304bb-94a0-4857-9e1e-336c1184f3a9
4874,0.0003573,1210,3bf5df5e-8c99-4776-ac4f-f8af288d47d2,openai/gpt-oss-120b,293,groq,completed,final_answer,1503,201def6f-2dde-4faf-828d-64299e4b58bd
31398,0.00027615,1189,e2241ebb-6c1f-4125-8571-3edfcfdf2fe4,openai/gpt-oss-120b,163,groq,completed,final_answer,1352,3f9105ee-50f0-40c0-b6dd-b44255659b53
23651,0.00046274999999999995,1201,05ef0427-0e63-4ad4-8e48-c648c922a670,openai/gpt-oss-120b,471,groq,completed,final_answer,1672,0b34b672-b534-473b-96d4-56697fb42caa
13579,0.00024375,1193,ca4847dc-030f-483b-b380-0df183688750,openai/gpt-oss-120b,108,groq,completed,final_answer,1301,d3bee192-768a-4322-9d75-c8eaa3f2f1c4
20092,0.0004671,1210,9b024cea-ba36-4d98-8373-3c12768e9daf,openai/gpt-oss-120b,476,groq,completed,final_answer,1686,619ccc4f-42e8-4fb7-8719-c1d7057cac9b
19378,0.00028635,1201,b17086ba-7e77-44f1-bc85-a2d575cad45d,openai/gpt-oss-120b,177,groq,completed,final_answer,1378,8c4f3588-a2a2-494f-8daf-42760d89b613
18159,0.00038655,1221,3271134c-6b7f-4b41-bd7c-bcbf2a1222f5,openai/gpt-oss-120b,339,groq,completed,final_answer,1560,ecbcbf16-f1fd-400b-81a1-40cddaab4988
18010,0.00032655,1209,f7fea3ce-9982-4803-be48-84853914fc08,openai/gpt-oss-120b,242,groq,completed,final_answer,1451,21bc8eaf-dc22-4c04-8395-e3966028628a
19643,0.00063645,1207,5b3af03b-830a-4e14-a0cc-3036c50ec592,openai/gpt-oss-120b,759,groq,completed,final_answer,1966,bb3821ed-2a55-4218-a451-cc226f4dde56
23554,0.0002928,1196,bfceab4c-9640-47ff-8e95-a6ab9fb14c77,openai/gpt-oss-120b,189,groq,completed,final_answer,1385,281cbfec-aa03-46a1-887e-4b383cc1f3ce
126067,0.00040815000000000003,1461,7f409251-5cae-4cfd-986e-ce2da34fde9b,openai/gpt-oss-120b,315,groq,completed,final_answer,1776,e4f9e775-5083-4233-b244-80313f8941db
66696,0.00045075,2309,fb9a053e-76a2-4e00-92d3-787a6b241c5f,openai/gpt-oss-120b,174,groq,completed,final_answer,2483,2401049d-60b4-4fc7-adb9-27a672ead88b
62446,0.0005268,2260,017c699c-ef54-4f22-8726-bf2f61014489,openai/gpt-oss-120b,313,groq,completed,final_answer,2573,2f5b9cfc-1fce-4ee7-bed9-579587a0f001
18291,0.00038009999999999997,1214,df4339ce-0a4f-4c3a-be59-d84608180a1e,openai/gpt-oss-120b,330,groq,completed,final_answer,1544,ba6e63c2-81b1-4351-9e3a-d3c968370ea7
15155,0.00048149999999999994,1238,cd26f9ec-91ff-4c90-86a1-51591519a52c,openai/gpt-oss-120b,493,groq,completed,final_answer,1731,640e23ee-3d07-47c4-843e-90c7eeda8271
22020,0.0008863499999999999,1209,e84b8cac-f3f2-481c-ab44-90b4cb628362,openai/gpt-oss-120b,1175,groq,completed,final_answer,2384,31cc6372-eaf1-4abe-8931-3b71d55bb227
38690,0.00045749999999999995,1322,6c93e81c-6532-4649-affe-f2d0f1eeae4e,openai/gpt-oss-120b,432,groq,completed,final_answer,1754,55bad451-029e-400b-9b0a-c1239952e0a5
