applicable,case_id,metric_name,repetition,system,value
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,answer_accuracy,1,csm_v4,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,answer_accuracy,1,csm_v4,0.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,answer_accuracy,1,csm_v4,0.0
False,a37b16e4-aece-444f-9b81-69f1108f17c2,contradiction_handling,1,csm_v4,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,contradiction_handling,1,csm_v4,
True,7759a683-adb7-4e2a-932e-185cdeabc93b,contradiction_handling,1,csm_v4,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,correction_recovery,1,csm_v4,0.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,correction_recovery,1,csm_v4,0.0
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,correction_recovery,1,csm_v4,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,decision_f1,1,csm_v4,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,decision_f1,1,csm_v4,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,decision_f1,1,csm_v4,
True,a37b16e4-aece-444f-9b81-69f1108f17c2,evidence_support_rate,1,csm_v4,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,evidence_support_rate,1,csm_v4,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,evidence_support_rate,1,csm_v4,0.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,expected_calibration_error,1,csm_v4,0.8980555555555553
True,7759a683-adb7-4e2a-932e-185cdeabc93b,expected_calibration_error,1,csm_v4,0.892368421052631
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,expected_calibration_error,1,csm_v4,0.8169444444444445
True,a37b16e4-aece-444f-9b81-69f1108f17c2,fabricated_citation_rate,1,csm_v4,0.40625
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,fabricated_citation_rate,1,csm_v4,0.34146341463414637
True,7759a683-adb7-4e2a-932e-185cdeabc93b,fabricated_citation_rate,1,csm_v4,0.42857142857142855
True,a37b16e4-aece-444f-9b81-69f1108f17c2,faithfulness,1,csm_v4,0.9743589743589743
True,7759a683-adb7-4e2a-932e-185cdeabc93b,faithfulness,1,csm_v4,0.9230769230769231
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,faithfulness,1,csm_v4,0.9534883720930233
True,a37b16e4-aece-444f-9b81-69f1108f17c2,groundedness,1,csm_v4,0.9743589743589743
True,7759a683-adb7-4e2a-932e-185cdeabc93b,groundedness,1,csm_v4,0.9230769230769231
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,groundedness,1,csm_v4,0.9534883720930233
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,hallucination_rate,1,csm_v4,1.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,hallucination_rate,1,csm_v4,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,hallucination_rate,1,csm_v4,1.0
True,a37b16e4-aece-444f-9b81-69f1108f17c2,lineage_citation_f1,1,csm_v4,0.25531914893617025
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,lineage_citation_f1,1,csm_v4,0.29090909090909095
True,7759a683-adb7-4e2a-932e-185cdeabc93b,lineage_citation_f1,1,csm_v4,0.16216216216216214
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,memory_update_accuracy,1,csm_v4,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,memory_update_accuracy,1,csm_v4,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,memory_update_accuracy,1,csm_v4,
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,p95_latency,1,csm_v4,185470.1
True,a37b16e4-aece-444f-9b81-69f1108f17c2,p95_latency,1,csm_v4,190680.40000000005
True,7759a683-adb7-4e2a-932e-185cdeabc93b,p95_latency,1,csm_v4,184044.05
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_precision,1,csm_v4,0.21875
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,retrieval_precision,1,csm_v4,0.2857142857142857
True,a37b16e4-aece-444f-9b81-69f1108f17c2,retrieval_precision,1,csm_v4,0.3076923076923077
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,retrieval_recall,1,csm_v4,0.7142857142857143
True,a37b16e4-aece-444f-9b81-69f1108f17c2,retrieval_recall,1,csm_v4,0.8
True,7759a683-adb7-4e2a-932e-185cdeabc93b,retrieval_recall,1,csm_v4,0.7777777777777778
True,a37b16e4-aece-444f-9b81-69f1108f17c2,state_accuracy,1,csm_v4,0.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,state_accuracy,1,csm_v4,0.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,state_accuracy,1,csm_v4,0.0
False,7759a683-adb7-4e2a-932e-185cdeabc93b,state_recovery_time,1,csm_v4,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,state_recovery_time,1,csm_v4,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,state_recovery_time,1,csm_v4,
False,8e262a8f-3296-42f8-8ce0-cd6637098f9c,temporal_consistency,1,csm_v4,
False,7759a683-adb7-4e2a-932e-185cdeabc93b,temporal_consistency,1,csm_v4,
False,a37b16e4-aece-444f-9b81-69f1108f17c2,temporal_consistency,1,csm_v4,
True,7759a683-adb7-4e2a-932e-185cdeabc93b,tokens_per_query,1,csm_v4,3213.15
True,a37b16e4-aece-444f-9b81-69f1108f17c2,tokens_per_query,1,csm_v4,4250.8
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,tokens_per_query,1,csm_v4,3415.45
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,total_cost,1,csm_v4,0.013956149999999999
True,a37b16e4-aece-444f-9b81-69f1108f17c2,total_cost,1,csm_v4,0.016504500000000002
True,7759a683-adb7-4e2a-932e-185cdeabc93b,total_cost,1,csm_v4,0.01296
True,a37b16e4-aece-444f-9b81-69f1108f17c2,unsupported_claim_rate,1,csm_v4,1.0
True,7759a683-adb7-4e2a-932e-185cdeabc93b,unsupported_claim_rate,1,csm_v4,1.0
True,8e262a8f-3296-42f8-8ce0-cd6637098f9c,unsupported_claim_rate,1,csm_v4,1.0
