calculation_reason,citation_classification,citation_id,patient,question_id,question_number,resolution_status,resolved_id,system,turn_id
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e,rolling_summary,1da1e56e-179c-4c69-99ad-fa158bb3cca9
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,6b5d4cab-0595-47ed-b6cf-6c472f6dfc3e,rolling_summary,1da1e56e-179c-4c69-99ad-fa158bb3cca9
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,c3d6015f-74fc-43b3-bd0f-980791933814,csm,39170e46-1e9f-4115-8ca4-c5d86155ea79
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C2,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3,csm,39170e46-1e9f-4115-8ca4-c5d86155ea79
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,csm,39170e46-1e9f-4115-8ca4-c5d86155ea79
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,82436317-3f6d-48a5-98a1-fc7112135ff0,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,82436317-3f6d-48a5-98a1-fc7112135ff0,csm,39170e46-1e9f-4115-8ca4-c5d86155ea79
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C2,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,82436317-3f6d-48a5-98a1-fc7112135ff0,hippo_rag,6232d0bb-bfac-40db-9156-e7b5e843c132
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,hippo_rag,6232d0bb-bfac-40db-9156-e7b5e843c132
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C8,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,45d84f73-ac0d-4c47-9e7d-cd89aa0eca52,hippo_rag,6232d0bb-bfac-40db-9156-e7b5e843c132
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,82436317-3f6d-48a5-98a1-fc7112135ff0,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,82436317-3f6d-48a5-98a1-fc7112135ff0,hippo_rag,6232d0bb-bfac-40db-9156-e7b5e843c132
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,45d84f73-ac0d-4c47-9e7d-cd89aa0eca52,SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,resolved,45d84f73-ac0d-4c47-9e7d-cd89aa0eca52,hippo_rag,6232d0bb-bfac-40db-9156-e7b5e843c132
