calculation_reason,citation_classification,citation_id,patient,question_id,question_number,resolution_status,resolved_id,system,turn_id
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C4,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5c05a6f5-73c3-40ce-b489-9e78826d7e30,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C2,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C5,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5c05a6f5-73c3-40ce-b489-9e78826d7e30,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,dense_rag,43e37bd1-1c5c-4eaf-b378-5358d50168eb
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,18e3ce02-31f6-43d4-8191-c2dfe0133eb1,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C7,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,9cfa46c9-0e9a-4a77-bcc8-60bc062625be,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,18e3ce02-31f6-43d4-8191-c2dfe0133eb1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,18e3ce02-31f6-43d4-8191-c2dfe0133eb1,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,9cfa46c9-0e9a-4a77-bcc8-60bc062625be,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,9cfa46c9-0e9a-4a77-bcc8-60bc062625be,rolling_summary,55bad451-029e-400b-9b0a-c1239952e0a5
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C2,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,dde77447-7e75-4eed-96b6-133e1d7bcc76,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C5,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,9ed89967-8788-465f-bd08-3dfeb36c7f7b,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C7,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,4e13f76b-deab-47b5-94a0-d13b01eea584,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5c05a6f5-73c3-40ce-b489-9e78826d7e30,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,9ed89967-8788-465f-bd08-3dfeb36c7f7b,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,9ed89967-8788-465f-bd08-3dfeb36c7f7b,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2fb589b0-57c2-4fe2-8a67-45b2971965b0,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2fb589b0-57c2-4fe2-8a67-45b2971965b0,csm,7ff75fd3-a4e2-4617-a1ea-6968256a4cfd
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,graph_rag,92e98184-f8d0-456f-8826-e77bc4cfa374
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,graph_rag,92e98184-f8d0-456f-8826-e77bc4cfa374
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,graph_rag,92e98184-f8d0-456f-8826-e77bc4cfa374
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5c05a6f5-73c3-40ce-b489-9e78826d7e30,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,graph_rag,92e98184-f8d0-456f-8826-e77bc4cfa374
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C7,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5c05a6f5-73c3-40ce-b489-9e78826d7e30,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C8,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,2e5d3648-597e-411c-b723-855519bef763,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5c05a6f5-73c3-40ce-b489-9e78826d7e30,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,5c05a6f5-73c3-40ce-b489-9e78826d7e30,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C4,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2eb49637-d46b-497e-9788-29ddb867d3bc,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2eb49637-d46b-497e-9788-29ddb867d3bc,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2eb49637-d46b-497e-9788-29ddb867d3bc,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,2e5d3648-597e-411c-b723-855519bef763,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,2e5d3648-597e-411c-b723-855519bef763,graph_rag,8e7caa6b-ccb9-4353-a246-44d5cc5ded3b
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C5,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,long_context,bc2757ce-6de2-4bc0-9b7d-a118e135bea9
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,ea919ae5-2472-4ef6-85a9-e626199b7157,csm,d947f258-73aa-4012-87e1-7706d5a305ee
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,csm,d947f258-73aa-4012-87e1-7706d5a305ee
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C8,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,6848f914-7c9f-46e8-b100-f5f03b1a3825,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5a6b266b-39ea-4979-9d99-067d4a79eadc,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,6848f914-7c9f-46e8-b100-f5f03b1a3825,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,6848f914-7c9f-46e8-b100-f5f03b1a3825,hybrid_rag,21cfa5df-cf09-486b-b215-66e9d68f04ea
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,ea919ae5-2472-4ef6-85a9-e626199b7157,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C8,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,c841df57-92ee-483d-9468-72d67a2bb245,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C5,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,9ed89967-8788-465f-bd08-3dfeb36c7f7b,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5a6b266b-39ea-4979-9d99-067d4a79eadc,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,c841df57-92ee-483d-9468-72d67a2bb245,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,c841df57-92ee-483d-9468-72d67a2bb245,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,dde77447-7e75-4eed-96b6-133e1d7bcc76,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,dde77447-7e75-4eed-96b6-133e1d7bcc76,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,ea919ae5-2472-4ef6-85a9-e626199b7157,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,ea919ae5-2472-4ef6-85a9-e626199b7157,csm,263069d8-6a50-499c-953a-78cc45302961
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5a6b266b-39ea-4979-9d99-067d4a79eadc,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,hippo_rag,3c84530d-5e39-4eb0-9adb-88aa9abfec97
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,18e3ce02-31f6-43d4-8191-c2dfe0133eb1,rolling_summary,b0453bcb-b2ea-41bb-b986-485d2dbc521f
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,18e3ce02-31f6-43d4-8191-c2dfe0133eb1,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,18e3ce02-31f6-43d4-8191-c2dfe0133eb1,rolling_summary,b0453bcb-b2ea-41bb-b986-485d2dbc521f
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C1,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,dde77447-7e75-4eed-96b6-133e1d7bcc76,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C2,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C6,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,C3,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,ea919ae5-2472-4ef6-85a9-e626199b7157,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,5a6b266b-39ea-4979-9d99-067d4a79eadc,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,5a6b266b-39ea-4979-9d99-067d4a79eadc,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
resolved_through_turn_citation_map_or_retrieval_context,valid_supporting,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,resolved,78d14e72-cdd1-4822-8b6c-e3300c0baf2b,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
