metric_name,comparison,paired_sample_count,mean_difference,median_difference,effect_size,ci_low,ci_high,raw_p_value,adjusted_p_value,test_result,reason
state_accuracy,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
state_accuracy,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
state_accuracy,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
state_accuracy,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
state_accuracy,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
state_accuracy,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
state_accuracy,csm_v3_vs_csm_v2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
temporal_consistency,csm_v3_vs_csm_v2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
decision_f1,csm_v3_vs_csm_v2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
answer_accuracy,csm_v3_vs_csm_v2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
hallucination_rate,csm_v3_vs_csm_v2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
evidence_support_rate,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
evidence_support_rate,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
evidence_support_rate,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
evidence_support_rate,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,no_stored_csm_v3_observation_level_metric_rows
