duration_ms,estimated_cost_usd,input_tokens,llm_call_id,model,output_tokens,provider,request_status,task_type,total_tokens,turn_id
5444,0.00051135,1909,a0e5127f-7e34-4f75-8864-883bf2a8e6de,openai/gpt-oss-120b,375,groq,completed,final_answer,2284,5f447e19-8c8f-4d41-adc8-6bd15bee476c
6742,0.0007616999999999999,2694,54249ce8-c148-4408-9bca-68337a3aa4a8,openai/gpt-oss-120b,596,groq,completed,final_answer,3290,ca5ab13f-a28a-46a6-a345-44f6e19f4502
60138,0.000861,3972,640e856d-3cfa-45b6-8ade-0d46849cd47a,openai/gpt-oss-120b,442,groq,completed,final_answer,4414,f400c44c-e5e1-46c0-b9a8-01b44728969e
35609,0.0005791500000000001,1913,f87ecc9c-8ec5-48d9-b15c-e4ec19c17797,openai/gpt-oss-120b,487,groq,completed,final_answer,2400,213b58af-8265-447e-8468-3389fa591843
27669,0.0004941,1858,26f0bb98-c818-4712-87e5-03d5b25748b5,openai/gpt-oss-120b,359,groq,completed,final_answer,2217,265defdb-d13b-40e2-98cf-6a286818b73a
71543,0.0009185999999999999,3916,8eb66e00-dc91-407b-991a-bee673499fa1,openai/gpt-oss-120b,552,groq,completed,final_answer,4468,1de091b4-1ad5-430f-90ad-85722fbd205e
31484,0.0007157999999999999,2720,a2a4a277-a220-4edb-b4e5-7a4761b66647,openai/gpt-oss-120b,513,groq,completed,final_answer,3233,9aadb852-025e-478f-9710-2ee59eb1f23a
18375,0.00059715,1861,4ced2ed7-3bf1-4bae-9dc8-0a97ca8cfd7f,openai/gpt-oss-120b,530,groq,completed,final_answer,2391,65e08603-9575-4720-92d6-7ae27541c643
29193,0.00042344999999999997,1947,38f97727-454f-4eb0-9731-31ca46beba2e,openai/gpt-oss-120b,219,groq,completed,final_answer,2166,50aa4cff-d8e0-49c4-9328-5eabd4c94b74
38948,0.00068715,2777,13c0c15d-334e-4734-87a5-ba04268e62c5,openai/gpt-oss-120b,451,groq,completed,final_answer,3228,b71df394-fe0c-4f32-9a9b-74e805016cb2
28804,0.00064965,2131,3c56afd0-e525-4490-842f-7e75ebf37aec,openai/gpt-oss-120b,550,groq,completed,final_answer,2681,9f3933f6-d119-4604-8759-bc440748d86e
28690,0.00042705,1871,0af87e32-c40e-4dfd-9ec5-51368302ac27,openai/gpt-oss-120b,244,groq,completed,final_answer,2115,ce72261f-39c4-4fc4-805f-cbc607fea8df
38827,0.00058185,2703,7d5cb230-f824-476c-bded-a46e623c0e74,openai/gpt-oss-120b,294,groq,completed,final_answer,2997,9909cea9-cdb2-42c1-a12e-4050b6ec9953
35825,0.00034829999999999996,2070,d3a26106-48de-47a7-951b-8c3c63039bf0,openai/gpt-oss-120b,63,groq,completed,final_answer,2133,f6a81f2f-e898-4ca1-9124-ecaa5b6432ef
32947,0.0009206999999999999,2766,56e23246-0d68-4a2e-828a-0f5394cdfb27,openai/gpt-oss-120b,843,groq,completed,final_answer,3609,ed0ea07a-3056-4fcd-a3bb-cf0fe41cad8d
40222,0.00054225,2715,4c68ef04-7874-4aed-b17c-a681712e74ab,openai/gpt-oss-120b,225,groq,completed,final_answer,2940,0d2b3af0-a045-458d-b491-b6c962c71855
24613,0.0006076499999999999,1915,8408743e-c29b-4a49-9afb-c5ebe6392895,openai/gpt-oss-120b,534,groq,completed,final_answer,2449,22b17281-6382-42cc-9a0d-1eccb78e0c1a
68620,0.00069525,1899,fbcbdcbf-0cd6-46c0-b23e-33867ab81edf,openai/gpt-oss-120b,684,groq,completed,final_answer,2583,2da76a6a-0ae3-4f60-a525-5dc459714c4a
36034,0.0005383499999999999,2729,be117eb2-a79f-43d7-9a05-880d7f6d018b,openai/gpt-oss-120b,215,groq,completed,final_answer,2944,87eef013-8d1d-4b49-a3a3-19a5027a3216
38379,0.0006333,2830,9c694c9e-b9a9-49c7-b95c-b01b3e0f899c,openai/gpt-oss-120b,348,groq,completed,final_answer,3178,20df5962-14bc-4410-a05f-78cb152a0683
23784,0.00043694999999999997,1945,a5975324-49a5-4073-b27e-a43565e67657,openai/gpt-oss-120b,242,groq,completed,final_answer,2187,b61c50db-e291-4d7e-a1e9-ecf4afe14dfd
32320,0.00073695,2641,f304e604-dfa1-4c02-9716-8a6dbe16cd8e,openai/gpt-oss-120b,568,groq,completed,final_answer,3209,5c42933c-6a38-456f-ad20-faecffae1c16
37067,0.00054345,2771,38e8cd4d-077c-4006-b60e-a40c1478a3c8,openai/gpt-oss-120b,213,groq,completed,final_answer,2984,bc05c230-855d-4be5-a4ea-ea2354b227e6
23348,0.00040215,1877,0348c9da-ae5b-40ea-adb7-88e17aacefa1,openai/gpt-oss-120b,201,groq,completed,final_answer,2078,54dbaf85-a62d-4237-807f-265826901680
35277,0.00051465,2671,8062391a-bdf4-4a19-8de2-8c75b59a7e6e,openai/gpt-oss-120b,190,groq,completed,final_answer,2861,b770cfed-9019-4f4c-a79c-60ee8c627de3
32554,0.0007299,2122,1dd86a30-5e0d-4b98-b1c0-b1c04720ea01,openai/gpt-oss-120b,686,groq,completed,final_answer,2808,4d57b8e2-8364-4fd8-86b5-eac8f581a6d8
23308,0.00044205,1895,f4cfb02a-bb5b-4d55-9f6b-34944747362f,openai/gpt-oss-120b,263,groq,completed,final_answer,2158,b4142752-ded8-4bf1-85f0-20e3c8f79d95
28969,0.0005161499999999999,1905,d6abe330-72ef-48c4-af79-2c71559ad33c,openai/gpt-oss-120b,384,groq,completed,final_answer,2289,ea8e55ae-2c23-485b-b24c-dcba5144722c
25334,0.00049665,1963,57471f2a-2a1a-4f21-8110-7bae69892dae,openai/gpt-oss-120b,337,groq,completed,final_answer,2300,428b8334-f082-46bb-81d6-60807515bd39
25640,0.0004011,1942,c66d794f-83b9-4c61-b9b7-e7606b156a4e,openai/gpt-oss-120b,183,groq,completed,final_answer,2125,4e57e6f6-87e2-481b-8679-a252cd06b548
68848,0.0009565499999999998,2309,813e6343-b78a-48af-b525-5b2d6900b7ba,openai/gpt-oss-120b,1017,groq,completed,final_answer,3326,38b518a1-a2a8-44a1-a5c5-3cb7cf18dd29
67469,0.00053445,2715,3aa9dc63-b0e6-4cdb-a823-36ad73a5ef92,openai/gpt-oss-120b,212,groq,completed,final_answer,2927,df34d24d-a950-458c-a09c-551dc86d5c46
26300,0.00040125,1899,791818c9-d185-47ee-8f1e-ee4ecd2723ea,openai/gpt-oss-120b,194,groq,completed,final_answer,2093,03f9faee-ee94-4e98-95dc-fb78f681aa9f
31431,0.0006049499999999999,2621,037861ea-fff9-4bfa-91cb-5d2c2d3a62f0,openai/gpt-oss-120b,353,groq,completed,final_answer,2974,3b82c8a7-80fe-4c26-ad94-ed5626df595e
22188,0.0004038,1860,c07e4aea-b553-4dae-abe8-d7eec92ad97e,openai/gpt-oss-120b,208,groq,completed,final_answer,2068,642383ed-3627-47ab-a343-89deff930b76
