csm,csm_n,dense_rag,dense_rag_n,graph_rag,graph_rag_n,hippo_rag,hippo_rag_n,hybrid_rag,hybrid_rag_n,long_context,long_context_n,metric_name,rolling_summary,rolling_summary_n
0.0,2,,0,,0,,0,,0,,0,state_accuracy,,0
0.4,5,0.4666666666666666,5,0.3333333333333333,5,0.26666666666666666,5,0.3333333333333333,5,0.26666666666666666,5,temporal_consistency,0.3333333333333333,5
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,decision_f1,0.0,1
0.12,20,0.17083333333333334,20,0.12392246642246643,20,0.11444444444444443,20,0.12083333333333332,20,0.08583333333333334,20,answer_accuracy,0.10333333333333332,20
0.075,20,0.08333333333333333,20,0.0,20,0.0,20,0.041666666666666664,20,0.225,20,hallucination_rate,0.0,20
0.525,20,0.5833333333333334,20,0.5966666666666667,20,0.5895833333333333,20,0.5666666666666667,20,0.45833333333333337,20,evidence_support_rate,0.5875,20
0.075,20,0.08333333333333333,20,0.0,20,0.0,20,0.041666666666666664,20,0.225,20,unsupported_claim_rate,0.0,20
0.0,19,0.00909090909090909,20,0.0,20,0.0,20,0.0,20,0.0,16,fabricated_citation_rate,0.0,20
0.525,20,0.5833333333333334,20,0.5966666666666667,20,0.5895833333333333,20,0.5666666666666667,20,0.45833333333333337,20,faithfulness,0.5875,20
0.525,20,0.5833333333333334,20,0.5966666666666667,20,0.5895833333333333,20,0.5666666666666667,20,0.45833333333333337,20,groundedness,0.5875,20
0.13094736842105262,19,0.15964912280701757,19,0.05515873015873015,18,0.06710526315789474,19,0.12960526315789475,19,0.14107142857142857,14,expected_calibration_error,0.03823529411764707,17
0.11707152496626182,19,0.2378998778998779,20,0.3777718204734334,20,0.3561190443543385,20,0.35428560002089415,20,0.053030303030303025,16,lineage_citation_f1,0.17406417112299463,20
0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,contradiction_handling,0.0,1
,0,,0,,0,,0,,0,,0,correction_recovery,,0
0.05680555555555557,20,0.178302392052392,20,0.16878968253968255,20,0.18181547619047617,20,0.17662698412698413,20,0.01875,20,retrieval_precision,0.17727272727272728,20
0.1480871212121212,20,0.3568647787397787,20,0.47635251322751326,20,0.49885251322751334,20,0.4518963443963444,20,0.03125,20,retrieval_recall,0.2897829485329485,20
2836.25,20,1975.7,20,2180.6,20,2200.15,20,2103.75,20,1522.1,20,tokens_per_query,2428.5,20
127248.0,20,78456.0,20,128301.0,20,128425.0,20,127761.0,20,27091.0,20,p95_latency,66631.0,20
0.011775299999999999,20,0.009772349999999999,20,0.009974849999999999,20,0.0104052,20,0.0100071,20,0.0072645,20,total_cost,0.01086435,20
0.5,2,0.25,2,0.25,2,0.75,2,0.25,2,0.75,2,memory_update_accuracy,0.75,2
,0,,0,,0,,0,,0,,0,state_recovery_time,,0
