patient,question_id,question_number,system,turn_id,metric_name,observation_value,applicable,reason_not_applicable,numerator,denominator,audit_file,calculation_reason
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,activation_precision,0.3333333333333333,True,NULL,2,6,csm_activation_audit.csv,activated_state_canonical_evidence_precision
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,activation_recall,0.4,True,NULL,2,5,csm_activation_audit.csv,activated_state_canonical_evidence_recall
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,activation_precision,0.2,True,NULL,1,5,csm_activation_audit.csv,activated_state_canonical_evidence_precision
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,activation_recall,0.2,True,NULL,1,5,csm_activation_audit.csv,activated_state_canonical_evidence_recall
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,activation_precision,0.0,True,NULL,0,5,csm_activation_audit.csv,activated_state_canonical_evidence_precision
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,activation_recall,0.0,True,NULL,0,11,csm_activation_audit.csv,activated_state_canonical_evidence_recall
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,activation_precision,0.0,True,NULL,0,5,csm_activation_audit.csv,activated_state_canonical_evidence_precision
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,activation_recall,0.0,True,NULL,0,4,csm_activation_audit.csv,activated_state_canonical_evidence_recall
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,activation_precision,0.0,True,NULL,0,6,csm_activation_audit.csv,activated_state_canonical_evidence_precision
SYN-CSM-001,bb201dcb-8553-49e5-b593-cb878c70d391,5,csm_v3,213b58af-8265-447e-8468-3389fa591843,activation_recall,0.0,True,NULL,0,5,csm_activation_audit.csv,activated_state_canonical_evidence_recall
