metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3,csm_v3_source
state_accuracy,higher_is_better,weighted_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.041666666666666664,12,0.0,107.0,NULL,evaluation_metric_results:pooled_numerator_denominator
temporal_consistency,higher_is_better,macro_mean,0.4393939393939394,22,0.5606060606060607,22,0.5303030303030304,22,0.4696969696969697,22,0.5151515151515152,22,0.42424242424242437,22,0.5,22,NULL,0,missing_generated_temporal_assertions; missing_temporal_ground_truth,evaluation_metric_results
decision_f1,higher_is_better,macro_f1,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,NULL,0,missing_predicted_decision_labels,evaluation_metric_results
answer_accuracy,higher_is_better,macro_f1,0.12628205128205128,52,0.10448343079922028,57,0.17560532687651328,59,0.16935621706309645,59,0.1869953194953195,60,0.15836696260425073,59,0.1392506690454951,59,0.0,107.0,NULL,evaluation_metric_results:f1_pooled_counts
hallucination_rate,lower_is_better,weighted_ratio,0.23717948717948717,52,0.0035087719298245615,57,0.04519774011299436,59,0.022598870056497175,59,0.0027777777777777775,60,0.002824858757062147,59,0.05084745762711865,59,1.0,120.0,NULL,evaluation_metric_results:pooled_numerator_denominator
evidence_support_rate,higher_is_better,weighted_ratio,0.47716346153846156,52,0.5727339181286549,57,0.5990112994350282,59,0.6144067796610169,59,0.6440277777777779,60,0.620409604519774,59,0.564366424535916,59,0.0,120.0,NULL,evaluation_metric_results:pooled_numerator_denominator
unsupported_claim_rate,lower_is_better,weighted_ratio,0.23717948717948717,52,0.0035087719298245615,57,0.04519774011299436,59,0.022598870056497175,59,0.0027777777777777775,60,0.002824858757062147,59,0.05084745762711865,59,1.0,120.0,NULL,evaluation_metric_results:pooled_numerator_denominator
fabricated_citation_rate,lower_is_better,weighted_ratio,0.0,45,0.0,59,0.0030816640986132513,59,0.0,59,0.0,60,0.0,60,0.0,57,0.4714285714285714,70.0,NULL,evaluation_metric_results:pooled_numerator_denominator
faithfulness,higher_is_better,weighted_ratio,0.47716346153846156,52,0.5727339181286549,57,0.5990112994350282,59,0.6144067796610169,59,0.6440277777777779,60,0.620409604519774,59,0.564366424535916,59,0.8916666666666667,120.0,NULL,evaluation_metric_results:pooled_numerator_denominator
groundedness,higher_is_better,weighted_mean,0.47716346153846156,52,0.5727339181286549,57,0.5990112994350282,59,0.6144067796610169,59,0.6440277777777779,60,0.620409604519774,59,0.564366424535916,59,0.8916666666666667,120.0,NULL,evaluation_metric_results:pooled_numerator_denominator
expected_calibration_error,lower_is_better,bin_weighted_error,0.1773214285714286,28,0.07150326797385621,51,0.17696226415094332,53,0.125954248366013,51,0.08838724168912851,53,0.09819444444444446,54,0.0986269841269841,54,0.8918181818181816,110.0,NULL,evaluation_metric_results:pooled_reliability_bins
lineage_citation_f1,higher_is_better,macro_f1,0.09091871091871093,45,0.1275805271898888,59,0.2917671466200517,59,0.3567046074124795,59,0.34656867959311843,60,0.3502855576268846,60,0.1409016422174317,57,0.2962962962962963,38.0,NULL,evaluation_metric_results:f1_pooled_counts
contradiction_handling,higher_is_better,component_mean,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1.0,NULL,evaluation_metric_results:pooled_numerator_denominator
correction_recovery,higher_is_better,success_rate,0.11956521739130435,23,0.44565217391304346,23,0.3695652173913043,23,0.3695652173913043,23,0.43478260869565216,23,0.3695652173913043,23,0.391304347826087,23,0.0,2.0,NULL,evaluation_metric_results:pooled_numerator_denominator
retrieval_precision,higher_is_better,macro_precision_at_k,0.029166666666666667,60,0.13316498316498315,60,0.17227129352129353,60,0.17329899267399265,60,0.16630020442520443,60,0.171528379028379,60,0.06761904761904763,60,0.38333333333333336,60.0,NULL,evaluation_metric_results:pooled_numerator_denominator
retrieval_recall,higher_is_better,macro_recall_at_k,0.048749999999999995,60,0.20482781107781106,60,0.38814336126836124,60,0.45015466015466016,60,0.4199998381248379,60,0.44038963351463334,60,0.1696666065416066,60,0.6052631578947368,38.0,NULL,evaluation_metric_results:pooled_numerator_denominator
activation_precision,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.06761904761904763,60,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
