metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n
state_accuracy,higher_is_better,macro_patient_weighted_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.05555555555555555,3,0.0,3
temporal_consistency,higher_is_better,macro_patient_macro_mean,0.41759259259259257,3,0.5262345679012346,3,0.5243827160493827,3,0.4506172839506173,3,0.49074074074074076,3,0.4037037037037037,3,0.49135802469135803,3,0.4447530864197531,3
decision_f1,higher_is_better,macro_patient_macro_f1,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3
answer_accuracy,higher_is_better,macro_patient_macro_f1,0.12900793650793652,3,0.10340697422568766,3,0.17528787245892508,3,0.16881640375448426,3,0.1869953194953195,3,0.15938178780284043,3,0.13946881091617933,3,0.10557762871230363,3
hallucination_rate,lower_is_better,macro_patient_weighted_ratio,0.24166666666666667,3,0.003703703703703704,3,0.04532163742690058,3,0.02266081871345029,3,0.002777777777777778,3,0.002777777777777778,3,0.049999999999999996,3,0.12200722394220846,3
evidence_support_rate,higher_is_better,macro_patient_weighted_ratio,0.4766865079365079,3,0.5715643274853801,3,0.598640350877193,3,0.6140716374269006,3,0.6440277777777778,3,0.621125730994152,3,0.5651211361737677,3,0.5026702786377709,3
unsupported_claim_rate,lower_is_better,macro_patient_weighted_ratio,0.24166666666666667,3,0.003703703703703704,3,0.04532163742690058,3,0.02266081871345029,3,0.002777777777777778,3,0.002777777777777778,3,0.049999999999999996,3,0.12200722394220846,3
fabricated_citation_rate,lower_is_better,macro_patient_weighted_ratio,0.0,3,0.0,3,0.0030303030303030303,3,0.0,3,0.0,3,0.0,3,0.0,3,0.006172839506172839,3
faithfulness,higher_is_better,macro_patient_weighted_ratio,0.4766865079365079,3,0.5715643274853801,3,0.598640350877193,3,0.6140716374269006,3,0.6440277777777778,3,0.621125730994152,3,0.5651211361737677,3,0.5026702786377709,3
groundedness,higher_is_better,macro_patient_weighted_mean,0.4766865079365079,3,0.5715643274853801,3,0.598640350877193,3,0.6140716374269006,3,0.6440277777777778,3,0.621125730994152,3,0.5651211361737677,3,0.5026702786377709,3
expected_calibration_error,lower_is_better,macro_patient_bin_weighted_error,0.18940476190476188,3,0.072532906681191,3,0.17741081871345032,3,0.12737364981080151,3,0.08921043929267614,3,0.09719298245614034,3,0.0973560463659148,3,0.14219706401078952,3
lineage_citation_f1,higher_is_better,macro_patient_macro_f1,0.09073079698079699,3,0.12704985669862365,3,0.2915785436646421,3,0.35628358381079844,3,0.3465686795931185,3,0.3502855576268846,3,0.1409016422174317,3,0.07537986704653371,3
contradiction_handling,higher_is_better,macro_patient_component_mean,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1
