metric_category,metric_name,direction,rank,system,value,n
STATE,state_accuracy,higher_is_better,1,csm_v2,0.041666666666666664,12
STATE,state_accuracy,higher_is_better,2,csm_v3,0.0,12
STATE,state_accuracy,higher_is_better,2,csm_v4,0.0,12
TEMPORAL,temporal_consistency,higher_is_better,1,rolling_summary,0.5606060606060607,22
TEMPORAL,temporal_consistency,higher_is_better,2,dense_rag,0.5303030303030304,22
TEMPORAL,temporal_consistency,higher_is_better,3,graph_rag,0.5151515151515152,22
TEMPORAL,temporal_consistency,higher_is_better,4,csm_v2,0.5,22
TEMPORAL,temporal_consistency,higher_is_better,5,csm_v3,0.4848484848484848,22
TEMPORAL,temporal_consistency,higher_is_better,6,hybrid_rag,0.4696969696969697,22
TEMPORAL,temporal_consistency,higher_is_better,7,csm_v4,0.46969696969696967,22
TEMPORAL,temporal_consistency,higher_is_better,8,long_context,0.4393939393939394,22
TEMPORAL,temporal_consistency,higher_is_better,9,hippo_rag,0.42424242424242437,22
QUALITY,decision_f1,higher_is_better,1,long_context,0.0,3
QUALITY,decision_f1,higher_is_better,1,rolling_summary,0.0,3
QUALITY,decision_f1,higher_is_better,1,dense_rag,0.0,3
QUALITY,decision_f1,higher_is_better,1,hybrid_rag,0.0,3
QUALITY,decision_f1,higher_is_better,1,graph_rag,0.0,3
QUALITY,decision_f1,higher_is_better,1,hippo_rag,0.0,3
QUALITY,decision_f1,higher_is_better,1,csm_v2,0.0,3
QUALITY,decision_f1,higher_is_better,1,csm_v3,0.0,3
QUALITY,decision_f1,higher_is_better,1,csm_v4,0.0,3
QUALITY,answer_accuracy,higher_is_better,1,graph_rag,0.1869953194953195,60
QUALITY,answer_accuracy,higher_is_better,2,dense_rag,0.17560532687651328,59
QUALITY,answer_accuracy,higher_is_better,3,hybrid_rag,0.16935621706309645,59
QUALITY,answer_accuracy,higher_is_better,4,csm_v4,0.167991822991823,60
QUALITY,answer_accuracy,higher_is_better,5,hippo_rag,0.15836696260425073,59
QUALITY,answer_accuracy,higher_is_better,6,csm_v2,0.1392506690454951,59
QUALITY,answer_accuracy,higher_is_better,7,long_context,0.12628205128205128,52
QUALITY,answer_accuracy,higher_is_better,8,csm_v3,0.1054563492063492,56
QUALITY,answer_accuracy,higher_is_better,9,rolling_summary,0.10448343079922028,57
GROUNDING,hallucination_rate,lower_is_better,1,graph_rag,0.0027777777777777775,60
GROUNDING,hallucination_rate,lower_is_better,2,hippo_rag,0.002824858757062147,59
GROUNDING,hallucination_rate,lower_is_better,3,rolling_summary,0.0035087719298245615,57
