question_id,patient_code,category,source_cutoff,exact_quote,rare_detail,insufficient_evidence,applicable_metrics
P1-Q01,SYN-CSM-001,Current state,2026-01-10T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q02,SYN-CSM-001,Historical fact,2026-01-10T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q03,SYN-CSM-001,Future-leakage trap,2026-03-08T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q04,SYN-CSM-001,Late-arriving evidence,2026-03-10T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q05,SYN-CSM-001,Qualification,2026-03-10T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q06,SYN-CSM-001,Correction recovery,2026-03-12T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;correction_recovery;state_recovery_time;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P1-Q07,SYN-CSM-001,Latest valid fact,2026-03-12T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q08,SYN-CSM-001,Trend reasoning,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;temporal_consistency;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;correction_recovery;memory_update_accuracy;tokens_per_query;p95_latency;total_cost
P1-Q09,SYN-CSM-001,State dependency,2026-03-20T23:59:59+05:30,False,False,False,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
P1-Q10,SYN-CSM-001,Pending-review awareness,2026-03-20T23:59:59+05:30,False,False,True,answer_accuracy;hallucination_rate;evidence_support_rate;unsupported_claim_rate;faithfulness;groundedness;expected_calibration_error;state_accuracy;memory_update_accuracy;fabricated_citation_rate;lineage_citation_f1;retrieval_precision;retrieval_recall;tokens_per_query;p95_latency;total_cost
