metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3
state_accuracy,higher_is_better,macro_equal_patient_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.05555555555555555,3,0.0,3,NULL
temporal_consistency,higher_is_better,macro_equal_patient_mean,0.41759259259259257,3,0.5262345679012346,3,0.5243827160493827,3,0.4506172839506173,3,0.49074074074074076,3,0.4037037037037037,3,0.491358024691358,3,NULL,0,missing_generated_temporal_assertions; missing_temporal_ground_truth
decision_f1,higher_is_better,macro_equal_patient_mean,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,NULL,0,missing_predicted_decision_labels
answer_accuracy,higher_is_better,macro_equal_patient_mean,0.12900793650793652,3,0.10340697422568768,3,0.17528787245892508,3,0.16881640375448426,3,0.18699531949531947,3,0.15938178780284043,3,0.13946881091617933,3,0.0,3,NULL
hallucination_rate,lower_is_better,macro_equal_patient_mean,0.24166666666666667,3,0.003703703703703704,3,0.045321637426900575,3,0.022660818713450288,3,0.002777777777777778,3,0.002777777777777778,3,0.049999999999999996,3,1.0,3,NULL
evidence_support_rate,higher_is_better,macro_equal_patient_mean,0.4766865079365079,3,0.5715643274853801,3,0.598640350877193,3,0.6140716374269006,3,0.6440277777777778,3,0.621125730994152,3,0.5651211361737677,3,0.0,3,NULL
unsupported_claim_rate,lower_is_better,macro_equal_patient_mean,0.24166666666666667,3,0.003703703703703704,3,0.045321637426900575,3,0.022660818713450288,3,0.002777777777777778,3,0.002777777777777778,3,0.049999999999999996,3,1.0,3,NULL
fabricated_citation_rate,lower_is_better,macro_equal_patient_mean,0.0,3,0.0,3,0.0030303030303030303,3,0.0,3,0.0,3,0.0,3,0.0,3,0.4705600631057021,3,NULL
faithfulness,higher_is_better,macro_equal_patient_mean,0.4766865079365079,3,0.5715643274853801,3,0.598640350877193,3,0.6140716374269006,3,0.6440277777777778,3,0.621125730994152,3,0.5651211361737677,3,0.8783495519269889,3,NULL
groundedness,higher_is_better,macro_equal_patient_mean,0.4766865079365079,3,0.5715643274853801,3,0.598640350877193,3,0.6140716374269006,3,0.6440277777777778,3,0.621125730994152,3,0.5651211361737677,3,0.8783495519269889,3,NULL
expected_calibration_error,lower_is_better,macro_equal_patient_mean,0.18940476190476188,3,0.072532906681191,3,0.17741081871345032,3,0.12737364981080151,3,0.08921043929267614,3,0.09719298245614034,3,0.09735604636591479,3,0.8933055555555555,3,NULL
