applicable,metric_name,patient_code,reason_not_applicable,repetition,system,value
True,answer_accuracy,SYN-CSM-003,,1,csm_v4,0.0
True,answer_accuracy,SYN-CSM-002,,1,csm_v4,0.0
True,answer_accuracy,SYN-CSM-001,,1,csm_v4,0.0
False,contradiction_handling,SYN-CSM-001,no_ground_truth_contradictions,1,csm_v4,
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,csm_v4,
True,contradiction_handling,SYN-CSM-002,,1,csm_v4,0.0
True,correction_recovery,SYN-CSM-002,,1,csm_v4,0.0
True,correction_recovery,SYN-CSM-001,,1,csm_v4,0.0
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,csm_v4,
False,decision_f1,SYN-CSM-001,missing_predicted_decision_labels,1,csm_v4,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,csm_v4,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,csm_v4,
True,evidence_support_rate,SYN-CSM-001,,1,csm_v4,0.0
True,evidence_support_rate,SYN-CSM-003,,1,csm_v4,0.0
True,evidence_support_rate,SYN-CSM-002,,1,csm_v4,0.0
True,expected_calibration_error,SYN-CSM-001,,1,csm_v4,0.8980555555555553
True,expected_calibration_error,SYN-CSM-002,,1,csm_v4,0.892368421052631
True,expected_calibration_error,SYN-CSM-003,,1,csm_v4,0.8169444444444445
True,fabricated_citation_rate,SYN-CSM-001,,1,csm_v4,0.40625
True,fabricated_citation_rate,SYN-CSM-003,,1,csm_v4,0.34146341463414637
True,fabricated_citation_rate,SYN-CSM-002,,1,csm_v4,0.42857142857142855
True,faithfulness,SYN-CSM-001,,1,csm_v4,0.9743589743589743
True,faithfulness,SYN-CSM-002,,1,csm_v4,0.9230769230769231
True,faithfulness,SYN-CSM-003,,1,csm_v4,0.9534883720930233
True,groundedness,SYN-CSM-001,,1,csm_v4,0.9743589743589743
True,groundedness,SYN-CSM-002,,1,csm_v4,0.9230769230769231
True,groundedness,SYN-CSM-003,,1,csm_v4,0.9534883720930233
True,hallucination_rate,SYN-CSM-003,,1,csm_v4,1.0
True,hallucination_rate,SYN-CSM-001,,1,csm_v4,1.0
True,hallucination_rate,SYN-CSM-002,,1,csm_v4,1.0
True,lineage_citation_f1,SYN-CSM-001,,1,csm_v4,0.25531914893617025
True,lineage_citation_f1,SYN-CSM-003,,1,csm_v4,0.29090909090909095
True,lineage_citation_f1,SYN-CSM-002,,1,csm_v4,0.16216216216216214
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,csm_v4,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,csm_v4,
False,memory_update_accuracy,SYN-CSM-001,missing_generated_state_transitions,1,csm_v4,
True,p95_latency,SYN-CSM-003,,1,csm_v4,185470.1
True,p95_latency,SYN-CSM-001,,1,csm_v4,190680.40000000005
True,p95_latency,SYN-CSM-002,,1,csm_v4,184044.05
True,retrieval_precision,SYN-CSM-002,,1,csm_v4,0.21875
True,retrieval_precision,SYN-CSM-003,,1,csm_v4,0.2857142857142857
True,retrieval_precision,SYN-CSM-001,,1,csm_v4,0.3076923076923077
True,retrieval_recall,SYN-CSM-003,,1,csm_v4,0.7142857142857143
True,retrieval_recall,SYN-CSM-001,,1,csm_v4,0.8
True,retrieval_recall,SYN-CSM-002,,1,csm_v4,0.7777777777777778
True,state_accuracy,SYN-CSM-001,,1,csm_v4,0.0
True,state_accuracy,SYN-CSM-002,,1,csm_v4,0.0
True,state_accuracy,SYN-CSM-003,,1,csm_v4,0.0
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,csm_v4,
False,state_recovery_time,SYN-CSM-001,no_recovery_event,1,csm_v4,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,csm_v4,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,csm_v4,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,csm_v4,
False,temporal_consistency,SYN-CSM-001,missing_generated_temporal_assertions,1,csm_v4,
True,tokens_per_query,SYN-CSM-002,,1,csm_v4,3213.15
True,tokens_per_query,SYN-CSM-001,,1,csm_v4,4250.8
True,tokens_per_query,SYN-CSM-003,,1,csm_v4,3415.45
True,total_cost,SYN-CSM-003,,1,csm_v4,0.013956149999999999
True,total_cost,SYN-CSM-001,,1,csm_v4,0.016504500000000002
True,total_cost,SYN-CSM-002,,1,csm_v4,0.01296
True,unsupported_claim_rate,SYN-CSM-001,,1,csm_v4,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,csm_v4,1.0
True,unsupported_claim_rate,SYN-CSM-003,,1,csm_v4,1.0
