metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,reason_not_applicable_csm_v3,csm_v3_source
state_accuracy,higher_is_better,weighted_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.0,7,0.0,39.0,NULL,evaluation_metric_results
temporal_consistency,higher_is_better,macro_mean,0.4444444444444444,9,0.7037037037037037,9,0.48148148148148145,9,0.5185185185185185,9,0.5555555555555556,9,0.4444444444444444,9,0.4074074074074074,9,NULL,0,missing_generated_temporal_assertions,evaluation_metric_results
decision_f1,higher_is_better,macro_f1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,NULL,0,missing_predicted_decision_labels,evaluation_metric_results
answer_accuracy,higher_is_better,macro_f1,0.14285714285714285,14,0.04197530864197531,18,0.1565580618212197,19,0.13696741854636593,19,0.1801190476190476,20,0.14444444444444443,20,0.1523391812865497,19,0.0,39.0,NULL,evaluation_metric_results
hallucination_rate,lower_is_better,weighted_ratio,0.29166666666666663,14,0.011111111111111112,18,0.05263157894736842,19,0.02631578947368421,19,0.008333333333333333,20,0.008333333333333333,20,0.0,19,1.0,43.0,NULL,evaluation_metric_results
evidence_support_rate,higher_is_better,weighted_ratio,0.4613095238095238,14,0.5208333333333334,18,0.5767543859649124,19,0.5942982456140351,19,0.6395833333333333,20,0.6104166666666666,20,0.6096491228070174,19,0.0,43.0,NULL,evaluation_metric_results
unsupported_claim_rate,lower_is_better,weighted_ratio,0.29166666666666663,14,0.011111111111111112,18,0.05263157894736842,19,0.02631578947368421,19,0.008333333333333333,20,0.008333333333333333,20,0.0,19,1.0,43.0,NULL,evaluation_metric_results
fabricated_citation_rate,lower_is_better,weighted_ratio,0.0,13,0.0,19,0.0,19,0.0,19,0.0,20,0.0,20,0.0,19,0.4583333333333333,24.0,NULL,evaluation_metric_results
faithfulness,higher_is_better,weighted_ratio,0.4613095238095238,14,0.5208333333333334,18,0.5767543859649124,19,0.5942982456140351,19,0.6395833333333333,20,0.6104166666666666,20,0.6096491228070174,19,0.9534883720930233,43.0,NULL,evaluation_metric_results
groundedness,higher_is_better,weighted_mean,0.4613095238095238,14,0.5208333333333334,18,0.5767543859649124,19,0.5942982456140351,19,0.6395833333333333,20,0.6104166666666666,20,0.6096491228070174,19,0.9534883720930233,43.0,NULL,evaluation_metric_results
expected_calibration_error,lower_is_better,bin_weighted_error,0.2964285714285714,7,0.1159375,16,0.1921666666666667,18,0.0867156862745098,17,0.09736842105263159,19,0.07916666666666668,16,0.0744791666666667,16,0.9312499999999998,1.0,NULL,evaluation_metric_results
lineage_citation_f1,higher_is_better,macro_f1,0.08791208791208792,13,0.09574029771398193,19,0.2804509692954714,19,0.33144319131161243,19,0.3156932370649409,20,0.327568820631701,20,0.15373281689071164,19,0.3076923076923077,15.0,NULL,evaluation_metric_results
contradiction_handling,higher_is_better,component_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,no_ground_truth_contradictions,evaluation_metric_results
correction_recovery,higher_is_better,success_rate,0.11538461538461539,13,0.6153846153846154,13,0.5,13,0.5,13,0.6538461538461539,13,0.5384615384615384,13,0.5384615384615384,13,0.0,1.0,NULL,evaluation_metric_results
retrieval_precision,higher_is_better,macro_precision_at_k,0.025,20,0.11666666666666667,20,0.13059253246753247,20,0.14881715506715507,20,0.1674801587301587,20,0.1650595238095238,20,0.07489087301587302,20,0.35294117647058826,17.0,NULL,evaluation_metric_results
retrieval_recall,higher_is_better,macro_recall_at_k,0.04,20,0.1621404521404521,20,0.2887181337181337,20,0.38229677729677725,20,0.3867412217412218,20,0.3868422318422319,20,0.1809126984126984,20,0.4,15.0,NULL,evaluation_metric_results
activation_precision,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.07489087301587302,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
activation_recall,higher_is_better,mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.1809126984126984,20,NULL,0,metric_not_present_in_csm_v3_evaluation_metric_results,absent
