aggregation_level,applicability_rules,applicable_rows,ci95_high,ci95_low,direction,display_name,failed_rows,formula,mean,metric_name,n,not_applicable_rows,pending_rows,reason_not_applicable,required_inputs,stddev,system,unit,version
weighted_mean,report_missing,0,,,higher_is_better,State Accuracy,0,Correct current-state components against ground truth.,,state_accuracy,0,0,0,,"[""generated_claims"", ""ground_truth_state""]",,long_context,ratio,1.0
macro_mean,report_missing,0,,,higher_is_better,Temporal Consistency,0,"Consistency with event order, valid time, and cross-turn history.",,temporal_consistency,0,0,0,,"[""generated_claims"", ""timeline_events""]",,long_context,ratio,1.0
macro_f1,report_missing,0,,,higher_is_better,Decision F1,0,Macro F1 over controlled research decision labels.,,decision_f1,0,0,0,,"[""predicted_labels"", ""ground_truth_labels""]",,long_context,f1,1.0
macro_f1,report_missing,0,,,higher_is_better,Answer Accuracy,0,Claim-level macro F1 against accepted ground-truth claims.,,answer_accuracy,0,0,0,,"[""generated_claims"", ""ground_truth_claims""]",,long_context,f1,1.0
weighted_ratio,report_missing,0,,,lower_is_better,Hallucination Rate,0,Unsupported plus contradicted factual claims divided by factual generated claims.,,hallucination_rate,0,0,0,,"[""claim_support_classifications""]",,long_context,ratio,1.0
weighted_ratio,report_missing,0,,,higher_is_better,Evidence Support Rate,0,Factual claims supported by valid available evidence.,,evidence_support_rate,0,0,0,,"[""claim_support_classifications"", ""citation_audit""]",,long_context,ratio,1.0
weighted_ratio,report_missing,0,,,lower_is_better,Unsupported Claim Rate,0,Unsupported factual claims divided by claims requiring evidence.,,unsupported_claim_rate,0,0,0,,"[""claim_support_classifications""]",,long_context,ratio,1.0
weighted_ratio,report_missing,0,,,lower_is_better,Fabricated Citation Rate,0,Generated citations that cannot resolve to supplied valid evidence.,,fabricated_citation_rate,0,0,0,,"[""citations"", ""retrieval_context""]",,long_context,ratio,1.0
weighted_ratio,report_missing,0,,,higher_is_better,Faithfulness,0,Factual claims supported by the context supplied to the final-answer model.,,faithfulness,0,0,0,,"[""generated_claims"", ""retrieval_context""]",,long_context,ratio,1.0
weighted_mean,report_missing,0,,,higher_is_better,Groundedness,0,"Evidence relevance, entailment, valid time, and resolvable lineage.",,groundedness,0,0,0,,"[""generated_claims"", ""citations"", ""source_lineage""]",,long_context,score,1.0
