metric_category,metric_name,direction,aggregation_function,long_context_value,long_context_n,rolling_summary_value,rolling_summary_n,dense_rag_value,dense_rag_n,hybrid_rag_value,hybrid_rag_n,graph_rag_value,graph_rag_n,hippo_rag_value,hippo_rag_n,csm_v2_value,csm_v2_n,csm_v3_value,csm_v3_n,csm_v4_value,csm_v4_n
STATE,state_accuracy,higher_is_better,weighted_mean,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0.041666666666666664,12,0.0,12,0.0,12
TEMPORAL,temporal_consistency,higher_is_better,macro_mean,0.4393939393939394,22,0.5606060606060607,22,0.5303030303030304,22,0.4696969696969697,22,0.5151515151515152,22,0.42424242424242437,22,0.5,22,0.4848484848484848,22,0.46969696969696967,22
QUALITY,decision_f1,higher_is_better,macro_f1,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3
QUALITY,answer_accuracy,higher_is_better,macro_f1,0.12628205128205128,52,0.10448343079922028,57,0.17560532687651328,59,0.16935621706309645,59,0.1869953194953195,60,0.15836696260425073,59,0.1392506690454951,59,0.1054563492063492,56,0.167991822991823,60
GROUNDING,hallucination_rate,lower_is_better,weighted_ratio,0.23717948717948717,52,0.0035087719298245615,57,0.04519774011299436,59,0.022598870056497175,59,0.0027777777777777775,60,0.002824858757062147,59,0.05084745762711865,59,0.11607142857142858,56,0.03333333333333333,60
GROUNDING,evidence_support_rate,higher_is_better,weighted_ratio,0.47716346153846156,52,0.5727339181286549,57,0.5990112994350282,59,0.6144067796610169,59,0.6440277777777779,60,0.620409604519774,59,0.564366424535916,59,0.5044642857142857,56,0.6094444444444443,60
GROUNDING,unsupported_claim_rate,lower_is_better,weighted_ratio,0.23717948717948717,52,0.0035087719298245615,57,0.04519774011299436,59,0.022598870056497175,59,0.0027777777777777775,60,0.002824858757062147,59,0.05084745762711865,59,0.11607142857142858,56,0.03333333333333333,60
GROUNDING,fabricated_citation_rate,lower_is_better,weighted_ratio,0.0,45,0.0,59,0.0030816640986132513,59,0.0,59,0.0,60,0.0,60,0.0,57,0.006666666666666666,50,0.0,59
GROUNDING,faithfulness,higher_is_better,weighted_ratio,0.47716346153846156,52,0.5727339181286549,57,0.5990112994350282,59,0.6144067796610169,59,0.6440277777777779,60,0.620409604519774,59,0.564366424535916,59,0.5044642857142857,56,0.6094444444444443,60
GROUNDING,groundedness,higher_is_better,weighted_mean,0.47716346153846156,52,0.5727339181286549,57,0.5990112994350282,59,0.6144067796610169,59,0.6440277777777779,60,0.620409604519774,59,0.564366424535916,59,0.5044642857142857,56,0.6094444444444443,60
