metric,1st,2nd,3rd,CSM_v3_rank,CSM_v3_value,best_value,best_system
state_accuracy,csm_v2,csm_v3,NULL,2,0.0,0.041666666666666664,csm_v2
temporal_consistency,rolling_summary,dense_rag,graph_rag,NULL,NULL,0.5606060606060607,rolling_summary
decision_f1,long_context;rolling_summary;dense_rag;hybrid_rag;graph_rag;hippo_rag;csm_v2,NULL,NULL,NULL,NULL,0.0,long_context
answer_accuracy,graph_rag,dense_rag,hybrid_rag,8,0.0,0.1869953194953195,graph_rag
hallucination_rate,graph_rag,hippo_rag,rolling_summary,8,1.0,0.0027777777777777775,graph_rag
evidence_support_rate,graph_rag,hippo_rag,hybrid_rag,8,0.0,0.6440277777777779,graph_rag
unsupported_claim_rate,graph_rag,hippo_rag,rolling_summary,8,1.0,0.0027777777777777775,graph_rag
fabricated_citation_rate,long_context;rolling_summary;hybrid_rag;graph_rag;hippo_rag;csm_v2,NULL,NULL,8,0.4714285714285714,0.0,long_context
faithfulness,csm_v3,graph_rag,hippo_rag,1,0.8916666666666667,0.8916666666666667,csm_v3
groundedness,csm_v3,graph_rag,hippo_rag,1,0.8916666666666667,0.8916666666666667,csm_v3
expected_calibration_error,rolling_summary,graph_rag,hippo_rag,8,0.8918181818181816,0.07150326797385621,rolling_summary
lineage_citation_f1,hybrid_rag,hippo_rag,graph_rag,4,0.2962962962962963,0.3567046074124795,hybrid_rag
contradiction_handling,long_context;rolling_summary;dense_rag;hybrid_rag;graph_rag;hippo_rag;csm_v2;csm_v3,NULL,NULL,1,0.0,0.0,long_context
correction_recovery,rolling_summary,graph_rag,csm_v2,8,0.0,0.44565217391304346,rolling_summary
retrieval_precision,csm_v3,hybrid_rag,dense_rag,1,0.38333333333333336,0.38333333333333336,csm_v3
retrieval_recall,csm_v3,hybrid_rag,hippo_rag,1,0.6052631578947368,0.6052631578947368,csm_v3
activation_precision,csm_v2,NULL,NULL,NULL,NULL,0.06761904761904763,csm_v2
activation_recall,csm_v2,NULL,NULL,NULL,NULL,0.1696666065416066,csm_v2
tokens_per_query,long_context,dense_rag,hippo_rag,6,2622.3166666666666,1579.2833333333333,long_context
p95_latency,long_context,csm_v3,dense_rag,2,68853.25,42706.0,long_context
total_cost,long_context,dense_rag,hybrid_rag,6,0.0338208,0.023013750000000006,long_context
memory_update_accuracy,hippo_rag,graph_rag,hybrid_rag,NULL,NULL,0.5499999999999999,hippo_rag
state_recovery_time,csm_v2,NULL,NULL,NULL,NULL,1.0,csm_v2
offline_csm_update_cost,csm_v2,NULL,NULL,NULL,NULL,0.0,csm_v2
online_query_cost,long_context,dense_rag,hybrid_rag,NULL,NULL,0.0003835625000000001,long_context
operational_wall_clock_latency_ms,long_context,dense_rag,rolling_summary,NULL,NULL,24351.55,long_context
processing_latency_ms,long_context,dense_rag,rolling_summary,NULL,NULL,24343.3,long_context
provider_generation_latency_ms,long_context,dense_rag,rolling_summary,NULL,NULL,24343.3,long_context
retrieval_activation_latency_ms,graph_rag,long_context,rolling_summary,NULL,NULL,7.633333333333334,graph_rag
