answer_confidence,has_output,insufficient_evidence,question,repetition,source_cutoff,status,system,turn_id,turn_number
0.95,True,False,What active chronic conditions are recorded for this patient?,1,2026-01-10T23:59:59+05:30,completed,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,1
0.95,True,False,"What values in the original 5 March report were superseded, and by what corrected values?",1,2026-03-12T23:59:59+05:30,completed,csm_v3,ca5ab13f-a28a-46a6-a345-44f6e19f4502,6
0.95,True,True,What was the baseline creatinine and eGFR on 10 January 2026?,1,2026-01-10T23:59:59+05:30,completed,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,2
,True,False,How should the dehydration note change interpretation of the abnormal renal result?,1,2026-03-10T23:59:59+05:30,completed,csm_v3,213b58af-8265-447e-8468-3389fa591843,5
0.93,True,False,What does the 20 March follow-up show about the renal trend?,1,2026-03-20T23:59:59+05:30,completed,csm_v3,265defdb-d13b-40e2-98cf-6a286818b73a,8
0.95,True,False,"Using only evidence available by 8 March, did renal function appear to worsen?",1,2026-03-08T23:59:59+05:30,completed,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,3
,True,False,What is the latest valid renal assessment after the corrected report but before follow-up testing?,1,2026-03-12T23:59:59+05:30,completed,csm_v3,9aadb852-025e-478f-9710-2ee59eb1f23a,7
0.9,True,False,Which event occurred in the patient before the 5 March renal specimen but was recorded later?,1,2026-03-10T23:59:59+05:30,completed,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,4
0.95,True,False,Did the application receive the 5 March abnormal laboratory values on the same day they were valid?,1,2026-03-20T23:59:59+05:30,completed,csm_v3,50aa4cff-d8e0-49c4-9328-5eabd4c94b74,13
0.95,True,False,Which evidence supports the conclusion that renal function improved?,1,2026-03-20T23:59:59+05:30,completed,csm_v3,b71df394-fe0c-4f32-9a9b-74e805016cb2,12
0.85,True,False,Should the chat claim that the patient definitely has severe chronic kidney disease become an active state?,1,2026-03-20T23:59:59+05:30,completed,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e,10
,True,True,Which state should be recomputed when the renal-function state changes?,1,2026-03-20T23:59:59+05:30,completed,csm_v3,ce72261f-39c4-4fc4-805f-cbc607fea8df,9
0.95,True,False,Quote the exact corrected creatinine statement from the addendum.,1,2026-03-12T23:59:59+05:30,completed,csm_v3,9909cea9-cdb2-42c1-a12e-4050b6ec9953,11
,True,True,"Classify the renal follow-up priority after 20 March as urgent escalation, clinician review, or no follow-up.",1,2026-03-20T23:59:59+05:30,completed,csm_v3,f6a81f2f-e898-4ca1-9124-ecaa5b6432ef,14
