patient,question_number,question,route_v2,route_v3,expected_sources,v2_sources,v3_sources,sources_lost_in_v3,sources_added_in_v3,v2_precision,v3_precision,v2_recall,v3_recall,v2_answer_score,v3_answer_score,v2_tokens,v3_tokens,diagnosed_failure_reason
SYN-CSM-001,1,What active chronic conditions are recorded for this patient?,state_first,state_first,"[""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""82436317-3f6d-48a5-98a1-fc7112135ff0""]","[""144815ec-2457-4f70-906b-db11c7129c10"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""c3d6015f-74fc-43b3-bd0f-980791933814"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]",[],[],0.25,0.3333333333333333,0.4,0.4,0.6666666666666666,0.6666666666666666,3166,2284,NO_REGRESSION_DETECTED: lost_expected=0; v2_recall=0.400000; v3_recall=0.400000; v2_answer=0.666667; v3_answer=0.666667
SYN-CSM-001,2,What was the baseline creatinine and eGFR on 10 January 2026?,temporal_state,temporal_state,"[""144815ec-2457-4f70-906b-db11c7129c10"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""c3d6015f-74fc-43b3-bd0f-980791933814"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]","[""144815ec-2457-4f70-906b-db11c7129c10""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]",0.25,0.2,0.4,0.2,0.6666666666666666,0.0,2929,4414,OVER_PRUNING|INSUFFICIENT_LINEAGE|SERIALIZATION_INFORMATION_LOSS: lost_expected=1; v2_recall=0.400000; v3_recall=0.200000; v2_answer=0.666667; v3_answer=0.000000
SYN-CSM-001,3,"Using only evidence available by 8 March, did renal function appear to worsen?",temporal_state,temporal_state,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""4f3333db-3165-4eda-92c3-3a26228909e8"", ""501fafdf-88fe-400c-b8fe-d49b391cc246"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""6783c222-88d0-4316-9e5d-ef17041965b6"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""8240274e-a886-4f15-b679-10cce83b9649"", ""c23d39e1-9286-46a3-a956-39ee6c42831f""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]",[],"[""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]",0.0,0.0,0.0,0.0,0.0,0.0,3278,4468,CORRECTION_ERROR: lost_expected=0; v2_recall=0.000000; v3_recall=0.000000; v2_answer=0.000000; v3_answer=0.000000
SYN-CSM-001,4,Which event occurred in the patient before the 5 March renal specimen but was recorded later?,temporal_state,temporal_state,"[""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""c23d39e1-9286-46a3-a956-39ee6c42831f"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]","[""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]",0.1,0.0,0.25,0.0,0.0,0.0,2946,2391,OVER_PRUNING|INSUFFICIENT_LINEAGE: lost_expected=1; v2_recall=0.250000; v3_recall=0.000000; v2_answer=0.000000; v3_answer=0.000000
SYN-CSM-001,5,How should the dehydration note change interpretation of the abnormal renal result?,decision_state,temporal_state,"[""4f3333db-3165-4eda-92c3-3a26228909e8"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""8240274e-a886-4f15-b679-10cce83b9649"", ""c23d39e1-9286-46a3-a956-39ee6c42831f""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]",[],"[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]",0.0,0.0,0.0,0.0,0.0,0.0,3315,2400,NO_REGRESSION_DETECTED: lost_expected=0; v2_recall=0.000000; v3_recall=0.000000; v2_answer=0.000000; v3_answer=0.000000
SYN-CSM-001,6,"What values in the original 5 March report were superseded, and by what corrected values?",correction_state,correction_state,"[""4f3333db-3165-4eda-92c3-3a26228909e8"", ""501fafdf-88fe-400c-b8fe-d49b391cc246"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""8240274e-a886-4f15-b679-10cce83b9649""]","[""028d59cf-d859-40b9-aa91-71a4cf14f781"", ""0332669c-5630-4561-a8b7-b4295f288d2c"", ""1367df53-8671-43d5-8f65-221c4c48f478"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""74704973-ff4d-496f-b4da-893ea3ee9169"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""8240274e-a886-4f15-b679-10cce83b9649"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""992508fd-a5ec-443e-a9b5-1b673de2ccd5"", ""e5a11973-ae52-4d29-bc64-19089bc4f098"", ""e7227da2-1080-4e02-9f46-273e603b015b"", ""f071bfd0-e514-473b-91a5-d7480532da5d"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]","[""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""8240274e-a886-4f15-b679-10cce83b9649""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]",0.125,0.0,0.4,0.0,0.25,0.0,3425,3290,OVER_PRUNING|INSUFFICIENT_LINEAGE|SERIALIZATION_INFORMATION_LOSS: lost_expected=2; v2_recall=0.400000; v3_recall=0.000000; v2_answer=0.250000; v3_answer=0.000000
SYN-CSM-001,7,What is the latest valid renal assessment after the corrected report but before follow-up testing?,correction_state,correction_state,"[""501fafdf-88fe-400c-b8fe-d49b391cc246"", ""50a2a2f2-85f0-4810-8d01-6e95c883f1ca"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""c23d39e1-9286-46a3-a956-39ee6c42831f""]","[""0332669c-5630-4561-a8b7-b4295f288d2c"", ""1367df53-8671-43d5-8f65-221c4c48f478"", ""16856504-537b-48b5-a58d-5885c6200fce"", ""3d44a964-a34f-402a-a0d4-46e9f8fe08f2"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""818e76c5-3a83-4f81-bd9f-83b4c5f416d1"", ""992508fd-a5ec-443e-a9b5-1b673de2ccd5"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""e7227da2-1080-4e02-9f46-273e603b015b"", ""ea1a2255-c0f8-489e-a0eb-32b10c1cc8fb"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]","[""818e76c5-3a83-4f81-bd9f-83b4c5f416d1""]","[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]",0.07142857142857142,0.0,0.2,0.0,0.0,0.0,2984,3233,OVER_PRUNING|INSUFFICIENT_LINEAGE|STATE_UPDATE_ERROR: lost_expected=1; v2_recall=0.200000; v3_recall=0.000000; v2_answer=0.000000; v3_answer=0.000000
SYN-CSM-001,8,What does the 20 March follow-up show about the renal trend?,temporal_state,temporal_state,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""45d84f73-ac0d-4c47-9e7d-cd89aa0eca52"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""6783c222-88d0-4316-9e5d-ef17041965b6""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""3d44a964-a34f-402a-a0d4-46e9f8fe08f2"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""c3d6015f-74fc-43b3-bd0f-980791933814"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""b36fe256-a9f3-4d54-8414-ff7324791817""]",[],"[""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]",0.0,0.0,0.0,0.0,0.2,0.0,3602,2217,SERIALIZATION_INFORMATION_LOSS: lost_expected=0; v2_recall=0.000000; v3_recall=0.000000; v2_answer=0.200000; v3_answer=0.000000
SYN-CSM-001,9,Which state should be recomputed when the renal-function state changes?,temporal_state,temporal_state,"[""01179013-122d-467c-ba84-2f1f8debc427"", ""5a7448c6-829a-4d17-afa0-a12fc259a4a8"", ""782865e0-919b-4ccf-8e67-6b54d03bb0e8"", ""cc74c889-a026-4efa-91da-ce3cb7ad4a8e""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""3d44a964-a34f-402a-a0d4-46e9f8fe08f2"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6""]",[],"[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6""]",0.0,0.0,0.0,0.0,0.0,0.0,3269,2115,NO_REGRESSION_DETECTED: lost_expected=0; v2_recall=0.000000; v3_recall=0.000000; v2_answer=0.000000; v3_answer=0.000000
SYN-CSM-001,10,Should the chat claim that the patient definitely has severe chronic kidney disease become an active state?,decision_state,decision_state,"[""08d90b4c-3a9b-4967-b833-646cdd692864"", ""1fc69bd8-4618-4490-907f-73b196a1d564"", ""221eb9f5-a99e-4e55-8410-c1d6b8f3db86"", ""243d9771-2443-4f00-b0d1-f25ae134dde4"", ""280c5401-0a2c-4238-b4fd-ebeb86b763e3"", ""324be4cd-80f6-4397-a295-1d4d70da64b8"", ""4690bb80-2f20-431e-8dbc-5509d7fc5488"", ""70ea8ada-b7e5-4f9b-8f28-ce61f65883ca"", ""792bd93d-19a9-42f5-864f-43103aaef7f1"", ""7f7b2420-3265-4ea9-aaf7-2720c22198d5"", ""8603607f-34cc-49bf-a7c7-289bfd2c5e39"", ""90f0ba0e-b1cf-4872-bbdb-78e6465dcd6b"", ""95625d05-1ed4-46da-ab54-c616686485f8"", ""9a7a2cf0-4a32-49c0-b932-42fb13434e86"", ""9e93b37b-98dd-479e-a2fd-e482c8b37922"", ""9eaebc8d-52d0-42be-82c5-5903a91e818a"", ""9f475397-d3f8-44a1-97f2-6afdd6ca5dfe"", ""True"", ""a36dcf61-c801-4b2a-ba00-46774c62c28d"", ""a80e553a-c896-4b48-9acd-0a6ee51d8810"", ""ad612aff-f363-40bf-987c-10e4eb1a3fb8"", ""e9f2fb97-daec-4732-b497-fd5e3c9cf879"", ""ec897980-349e-4eec-9ade-a739d6f897dd"", ""f1fd4118-aac1-41e2-aec4-6d1febbf56de"", ""f2f39328-379f-41b4-9b8e-37422bf9774f"", ""f8ad9b6d-318a-4d81-9d5e-4745dc41d782"", ""fd1beb93-6c5a-4462-a534-b88349570fe4""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""144815ec-2457-4f70-906b-db11c7129c10"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""3d44a964-a34f-402a-a0d4-46e9f8fe08f2"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""ccb0ce3a-a3c5-46e7-89f0-8eb60ef5a5e3"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]","[""100e6bd9-2555-45d8-975a-227392273059"", ""2714340b-357b-40da-8320-ca5d49b38825"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""b36fe256-a9f3-4d54-8414-ff7324791817"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]",[],"[""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""f1883cf3-d2d5-4728-9eca-486d26f44798""]",0.0,0.0,0.0,0.0,0.0,0.0,3705,2681,NO_REGRESSION_DETECTED: lost_expected=0; v2_recall=0.000000; v3_recall=0.000000; v2_answer=0.000000; v3_answer=0.000000
