patient,question_id,question_number,system,turn_id,citation_id,resolved_id,resolution_status,citation_classification,calculation_reason
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,C1,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,C4,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,C2,82436317-3f6d-48a5-98a1-fc7112135ff0,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,C3,82436317-3f6d-48a5-98a1-fc7112135ff0,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,82436317-3f6d-48a5-98a1-fc7112135ff0,82436317-3f6d-48a5-98a1-fc7112135ff0,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,C2,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,7c216ab9-482a-45e1-b674-ccae87dc3241,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,C4,7c216ab9-482a-45e1-b674-ccae87dc3241,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,C3,775bdc39-a4a1-480c-a6f2-ea6317756358,resolved,valid_supporting,resolved_through_turn_citation_map_or_retrieval_context
