duration_ms,estimated_cost_usd,input_tokens,llm_call_id,model,output_tokens,provider,request_status,task_type,total_tokens,turn_id
5348,0.0005049,1874,83d4671b-8ccd-4e36-8fe3-e8593af2ce6a,openai/gpt-oss-120b,373,groq,completed,final_answer,2247,c0a87061-3cc9-4130-a928-5fb5bec7f0e7
94123,0.0012931499999999999,7037,b8d4ba17-c67f-460e-8632-aa6c6b7724fa,openai/gpt-oss-120b,396,groq,completed,final_answer,7433,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c
63783,0.0008745000000000001,3238,7c68799d-346c-4a75-9b7f-a0c36813bc63,openai/gpt-oss-120b,648,groq,completed,final_answer,3886,7e96aea4-87ee-47ab-8248-6d2888ea12be
46643,0.0007965,3650,a23e7ccd-3dc2-441f-a7d8-3d576e7478b3,openai/gpt-oss-120b,415,groq,completed,final_answer,4065,e3a231c4-be31-4d7b-80be-4e24bbcaefb3
63223,0.00063645,2811,05eec48d-c6b7-4023-8515-20cffb37ed98,openai/gpt-oss-120b,358,groq,completed,final_answer,3169,4ec81cd3-40dc-4b5a-9f8b-4b4aa5fa4ed5
62799,0.0008462999999999999,3402,dffe47e9-3639-47b3-a71e-a80e3faa6b84,openai/gpt-oss-120b,560,groq,completed,final_answer,3962,2b643732-d4da-44f9-b409-e2a456f60025
62704,0.0004428,1900,eadc2731-8689-44e8-83e5-103ddaf4f72f,openai/gpt-oss-120b,263,groq,completed,final_answer,2163,333aecaa-7511-4ee1-a09b-8c0fac46ed8e
187886,0.0020170500000000003,10847,b11d637b-51a3-453f-a398-2a89ea4ed242,openai/gpt-oss-120b,650,groq,completed,final_answer,11497,2f38c003-c9dd-4f0d-8dbc-5918707cea77
63051,0.0008244,3528,b02dfb21-b75f-469c-9cbd-257e7948880e,openai/gpt-oss-120b,492,groq,completed,final_answer,4020,fe36bd38-519d-4a0d-874b-16854d0634c0
61740,0.0005204999999999999,2730,e5422ca5-19e7-4474-afd7-4bc9842eae33,openai/gpt-oss-120b,185,groq,completed,final_answer,2915,8ef50b91-bf4f-4256-b033-425d531490a9
