applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
True,answer_f1_audit.csv,per_question_claim_level_f1,7,answer_accuracy,1,0.25,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,claim_support_audit.csv,unsupported_or_contradicted_factual_claims,2,hallucination_rate,0,0.0,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,claim_support_audit.csv,supported_factual_claims,2,evidence_support_rate,1.5,0.75,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,claim_support_audit.csv,unsupported_factual_claims,2,unsupported_claim_rate,0,0.0,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,citation_resolution_audit.csv,fabricated_citations_over_generated_citations,4,fabricated_citation_rate,0,0.0,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,claim_support_audit.csv,claim_level_context_support_classification,2,faithfulness,1.5,0.75,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,claim_support_audit.csv,supported_or_partially_supported_claims,2,groundedness,1.5,0.75,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,retrieval_audit.csv,retrieved_relevant_sources_over_retrieved_sources,8,retrieval_precision,3,0.375,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,retrieval_audit.csv,retrieved_relevant_sources_over_expected_sources,6,retrieval_recall,3,0.5,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,citation_resolution_audit.csv,citation_lineage_f1_against_expected_sources,,lineage_citation_f1,,0.5,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,csm_activation_audit.csv,non_csm_has_no_csm_activation,,activation_precision,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,activation_metric_only_applicable_to_csm,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,csm_activation_audit.csv,non_csm_has_no_csm_activation,,activation_recall,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,activation_metric_only_applicable_to_csm,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,temporal_assertion_audit.csv,missing_temporal_ground_truth,,temporal_consistency,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_temporal_ground_truth,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,decision_label_audit.csv,missing_expected_decision_labels; expected=[] predicted=['diagnose'],,decision_f1,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_decision_labels,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,correction_recovery_audit.csv,no_correction_case,,correction_recovery,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,no_correction_case,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,state_comparison_audit.csv,missing_expected_state_transitions,,memory_update_accuracy,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_expected_state_transitions,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,state_comparison_audit.csv,non_csm_system_has_no_state_table,,state_accuracy,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,state_table_metric_only_applicable_to_csm,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,correction_recovery_audit.csv,non_csm_system_has_no_recovery_state,,state_recovery_time,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,state_recovery_time_only_applicable_to_csm,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,calibration_audit.csv,absolute_confidence_error_against_support_classification,,expected_calibration_error,,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,missing_generated_confidence,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,token_results.csv,stored_llm_call_total_tokens,1,tokens_per_query,1499,1499,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,5125,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,8,8,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,5125,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,5133,5133,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,5125,5125,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,total_cost.csv,answer_generation_provider_token_cost,1,online_query_cost,0.0003576,0.0003576,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
False,total_cost.csv,deterministic_csm_update_provider_cost_zero,1,offline_csm_update_cost,0.0,,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,offline_update_cost_only_recorded_for_csm,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
True,total_cost.csv,versioned_provider_token_pricing,1,total_cost,0.0003576,0.0003576,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,long_context,39e73bfa-0157-4c1c-b597-6a7d487970da
