row_type,patient,citation_id,metric_generated,metric_fabricated,present_in_metric_valid_context_ids,exported_rows_for_alias,exported_canonical_source_ids_for_alias,failure_reason
detail,SYN-CSM-001,100e6bd9-2555-45d8-975a-227392273059,True,False,True,0,[],NULL
detail,SYN-CSM-001,2714340b-357b-40da-8320-ca5d49b38825,True,False,True,0,[],NULL
detail,SYN-CSM-001,4c1c91bf-529c-4286-84ca-8cdfbb165ef3,True,False,True,0,[],NULL
detail,SYN-CSM-001,4ccc7534-0c71-4918-a30a-3425d55a636c,True,False,True,0,[],NULL
detail,SYN-CSM-001,54fd1427-29f4-4118-a5b1-2ba777c3a0c6,True,False,True,0,[],NULL
detail,SYN-CSM-001,775bdc39-a4a1-480c-a6f2-ea6317756358,True,False,True,0,[],NULL
detail,SYN-CSM-001,7c216ab9-482a-45e1-b674-ccae87dc3241,True,False,True,0,[],NULL
detail,SYN-CSM-001,82436317-3f6d-48a5-98a1-fc7112135ff0,True,False,True,0,[],NULL
detail,SYN-CSM-001,879dce5d-3179-4280-b610-7bd2d3320872,True,False,True,0,[],NULL
detail,SYN-CSM-001,8e514baf-cccd-4501-b2ce-ed6c9aed08c6,True,False,True,0,[],NULL
detail,SYN-CSM-001,93741d05-d8a8-40c9-b965-87774b495ce1,True,False,True,0,[],NULL
detail,SYN-CSM-001,C1,True,True,False,12,"[""100e6bd9-2555-45d8-975a-227392273059"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C10,True,True,False,3,"[""2714340b-357b-40da-8320-ca5d49b38825"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""b36fe256-a9f3-4d54-8414-ff7324791817""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C11,True,True,False,1,"[""4ccc7534-0c71-4918-a30a-3425d55a636c""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C2,True,True,False,9,"[""100e6bd9-2555-45d8-975a-227392273059"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""b36fe256-a9f3-4d54-8414-ff7324791817""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C3,True,True,False,7,"[""2714340b-357b-40da-8320-ca5d49b38825"", ""82436317-3f6d-48a5-98a1-fc7112135ff0"", ""93741d05-d8a8-40c9-b965-87774b495ce1"", ""b36fe256-a9f3-4d54-8414-ff7324791817""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C4,True,True,False,8,"[""100e6bd9-2555-45d8-975a-227392273059"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""879dce5d-3179-4280-b610-7bd2d3320872"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C5,True,True,False,5,"[""2714340b-357b-40da-8320-ca5d49b38825"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""f4c29954-0dee-482e-a023-4b0bb58eefbe""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C6,True,True,False,4,"[""100e6bd9-2555-45d8-975a-227392273059"", ""4c1c91bf-529c-4286-84ca-8cdfbb165ef3"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""b36fe256-a9f3-4d54-8414-ff7324791817""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C7,True,True,False,6,"[""4ccc7534-0c71-4918-a30a-3425d55a636c"", ""7c216ab9-482a-45e1-b674-ccae87dc3241"", ""8e514baf-cccd-4501-b2ce-ed6c9aed08c6"", ""b36fe256-a9f3-4d54-8414-ff7324791817""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C8,True,True,False,3,"[""54fd1427-29f4-4118-a5b1-2ba777c3a0c6"", ""775bdc39-a4a1-480c-a6f2-ea6317756358"", ""93741d05-d8a8-40c9-b965-87774b495ce1""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
detail,SYN-CSM-001,C9,True,True,False,1,"[""54fd1427-29f4-4118-a5b1-2ba777c3a0c6""]",alias_citation_id_not_in_valid_context_ids_even_though_exported_row_has_canonical_source_id
