patient,question_id,question_number,system,turn_id,metric_name,observation_value,applicable,reason_not_applicable,numerator,denominator,audit_file,calculation_reason
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,memory_update_accuracy,1.0,True,NULL,NULL,NULL,state_comparison_audit.csv,expected_state_transition_terms_found_in_stored_answer
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,state_accuracy,0.0,True,NULL,0,3,state_comparison_audit.csv,matched_expected_state_against_real_csm_state_table
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,state_recovery_time,NULL,False,no_recovered_correction_state,NULL,NULL,correction_recovery_audit.csv,first_turn_recovery_credit_when_corrected_state_available
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,memory_update_accuracy,NULL,False,missing_expected_state_transitions,NULL,NULL,state_comparison_audit.csv,missing_expected_state_transitions
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,state_accuracy,NULL,False,missing_expected_state,NULL,NULL,state_comparison_audit.csv,missing_expected_state
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,state_recovery_time,NULL,False,no_recovered_correction_state,NULL,NULL,correction_recovery_audit.csv,first_turn_recovery_credit_when_corrected_state_available
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,memory_update_accuracy,0.0,True,NULL,NULL,NULL,state_comparison_audit.csv,expected_state_transition_terms_found_in_stored_answer
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,state_accuracy,0.0,True,NULL,0,2,state_comparison_audit.csv,matched_expected_state_against_real_csm_state_table
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,state_recovery_time,1.0,True,NULL,NULL,NULL,correction_recovery_audit.csv,first_turn_recovery_credit_when_corrected_state_available
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v4,b529de87-4813-4ff0-b685-0d81d7ea728d,memory_update_accuracy,NULL,False,missing_expected_state_transitions,NULL,NULL,state_comparison_audit.csv,missing_expected_state_transitions
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v4,b529de87-4813-4ff0-b685-0d81d7ea728d,state_accuracy,NULL,False,missing_expected_state,NULL,NULL,state_comparison_audit.csv,missing_expected_state
