patient,metric_name,system,applicable,value,numerator,denominator,reason_not_applicable,details_status,diagnosis
SYN-CSM-001,state_accuracy,csm_v3,True,0.0,0.0,39.0,NULL,measured,measured
SYN-CSM-001,temporal_consistency,csm_v3,False,NULL,NULL,NULL,missing_generated_temporal_assertions,not_applicable,missing_generated_temporal_assertions
SYN-CSM-001,decision_f1,csm_v3,False,NULL,NULL,NULL,missing_predicted_decision_labels,not_applicable,missing_predicted_decision_labels
SYN-CSM-001,answer_accuracy,csm_v3,True,0.0,0.0,39.0,NULL,measured,measured
SYN-CSM-001,hallucination_rate,csm_v3,True,1.0,43.0,43.0,NULL,measured,measured
SYN-CSM-001,evidence_support_rate,csm_v3,True,0.0,0.0,43.0,NULL,measured,measured
SYN-CSM-001,unsupported_claim_rate,csm_v3,True,1.0,43.0,43.0,NULL,measured,measured
SYN-CSM-001,fabricated_citation_rate,csm_v3,True,0.4583333333333333,11.0,24.0,NULL,measured,measured
SYN-CSM-001,faithfulness,csm_v3,True,0.9534883720930233,41.0,43.0,NULL,measured,measured
SYN-CSM-001,groundedness,csm_v3,True,0.9534883720930233,41.0,43.0,NULL,measured,measured
SYN-CSM-001,expected_calibration_error,csm_v3,True,0.9312499999999998,0.9312499999999998,1.0,NULL,measured,measured
SYN-CSM-001,lineage_citation_f1,csm_v3,True,0.3076923076923077,6.0,15.0,NULL,measured,measured
SYN-CSM-001,contradiction_handling,csm_v3,False,NULL,NULL,NULL,no_ground_truth_contradictions,not_applicable,no_ground_truth_contradictions
SYN-CSM-001,correction_recovery,csm_v3,True,0.0,0.0,1.0,NULL,measured,measured
SYN-CSM-001,retrieval_precision,csm_v3,True,0.35294117647058826,6.0,17.0,NULL,measured,measured
SYN-CSM-001,retrieval_recall,csm_v3,True,0.4,6.0,15.0,NULL,measured,measured
SYN-CSM-001,activation_precision,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-001,activation_recall,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-001,tokens_per_query,csm_v3,True,2899.25,57985.0,20.0,NULL,measured,measured
SYN-CSM-001,p95_latency,csm_v3,True,60708.25000000001,NULL,NULL,NULL,measured,measured
SYN-CSM-001,total_cost,csm_v3,True,0.01253355,0.01253355,NULL,NULL,measured,measured
SYN-CSM-001,memory_update_accuracy,csm_v3,False,NULL,NULL,NULL,missing_generated_state_transitions,not_applicable,missing_generated_state_transitions
SYN-CSM-001,state_recovery_time,csm_v3,False,NULL,NULL,NULL,no_recovery_event,not_applicable,no_recovery_event
SYN-CSM-001,offline_csm_update_cost,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
SYN-CSM-001,online_query_cost,csm_v3,False,NULL,NULL,NULL,metric_not_present_in_csm_v3_evaluation_metric_results,missing_metric_result_row,metric_absent_from_live_csm_v3_metric_registry_or_export
