applicable,metric_name,patient_code,reason_not_applicable,repetition,system,value
True,answer_accuracy,SYN-CSM-001,,1,csm_v3,0.0
True,answer_accuracy,SYN-CSM-002,,1,csm_v3,0.0
True,answer_accuracy,SYN-CSM-003,,1,csm_v3,0.0
True,contradiction_handling,SYN-CSM-002,,1,csm_v3,0.0
False,contradiction_handling,SYN-CSM-003,no_ground_truth_contradictions,1,csm_v3,
False,contradiction_handling,SYN-CSM-001,no_ground_truth_contradictions,1,csm_v3,
True,correction_recovery,SYN-CSM-002,,1,csm_v3,0.0
True,correction_recovery,SYN-CSM-001,,1,csm_v3,0.0
False,correction_recovery,SYN-CSM-003,no_correction_cases,1,csm_v3,
False,decision_f1,SYN-CSM-001,missing_predicted_decision_labels,1,csm_v3,
False,decision_f1,SYN-CSM-003,missing_predicted_decision_labels,1,csm_v3,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,csm_v3,
True,evidence_support_rate,SYN-CSM-001,,1,csm_v3,0.0
True,evidence_support_rate,SYN-CSM-002,,1,csm_v3,0.0
True,evidence_support_rate,SYN-CSM-003,,1,csm_v3,0.0
True,expected_calibration_error,SYN-CSM-001,,1,csm_v3,0.9312499999999998
True,expected_calibration_error,SYN-CSM-002,,1,csm_v3,0.8919999999999999
True,expected_calibration_error,SYN-CSM-003,,1,csm_v3,0.8566666666666662
True,fabricated_citation_rate,SYN-CSM-001,,1,csm_v3,0.4583333333333333
True,fabricated_citation_rate,SYN-CSM-002,,1,csm_v3,0.47058823529411764
True,fabricated_citation_rate,SYN-CSM-003,,1,csm_v3,0.4827586206896552
True,faithfulness,SYN-CSM-003,,1,csm_v3,0.9148936170212766
True,faithfulness,SYN-CSM-001,,1,csm_v3,0.9534883720930233
True,faithfulness,SYN-CSM-002,,1,csm_v3,0.7666666666666667
True,groundedness,SYN-CSM-003,,1,csm_v3,0.9148936170212766
True,groundedness,SYN-CSM-001,,1,csm_v3,0.9534883720930233
True,groundedness,SYN-CSM-002,,1,csm_v3,0.7666666666666667
True,hallucination_rate,SYN-CSM-001,,1,csm_v3,1.0
True,hallucination_rate,SYN-CSM-002,,1,csm_v3,1.0
True,hallucination_rate,SYN-CSM-003,,1,csm_v3,1.0
True,lineage_citation_f1,SYN-CSM-001,,1,csm_v3,0.3076923076923077
True,lineage_citation_f1,SYN-CSM-003,,1,csm_v3,0.32558139534883723
True,lineage_citation_f1,SYN-CSM-002,,1,csm_v3,0.23076923076923078
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,csm_v3,
False,memory_update_accuracy,SYN-CSM-003,missing_generated_state_transitions,1,csm_v3,
False,memory_update_accuracy,SYN-CSM-001,missing_generated_state_transitions,1,csm_v3,
True,p95_latency,SYN-CSM-001,,1,csm_v3,60708.25000000001
True,p95_latency,SYN-CSM-002,,1,csm_v3,32467.850000000002
True,p95_latency,SYN-CSM-003,,1,csm_v3,68970.95
True,retrieval_precision,SYN-CSM-002,,1,csm_v3,0.35
True,retrieval_precision,SYN-CSM-001,,1,csm_v3,0.35294117647058826
True,retrieval_precision,SYN-CSM-003,,1,csm_v3,0.43478260869565216
True,retrieval_recall,SYN-CSM-003,,1,csm_v3,0.7142857142857143
True,retrieval_recall,SYN-CSM-001,,1,csm_v3,0.4
True,retrieval_recall,SYN-CSM-002,,1,csm_v3,0.7777777777777778
True,state_accuracy,SYN-CSM-002,,1,csm_v3,0.0
True,state_accuracy,SYN-CSM-003,,1,csm_v3,0.0
True,state_accuracy,SYN-CSM-001,,1,csm_v3,0.0
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,csm_v3,
False,state_recovery_time,SYN-CSM-003,no_recovery_event,1,csm_v3,
False,state_recovery_time,SYN-CSM-001,no_recovery_event,1,csm_v3,
False,temporal_consistency,SYN-CSM-001,missing_generated_temporal_assertions,1,csm_v3,
False,temporal_consistency,SYN-CSM-003,missing_temporal_ground_truth,1,csm_v3,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,csm_v3,
True,tokens_per_query,SYN-CSM-003,,1,csm_v3,2613.6
True,tokens_per_query,SYN-CSM-002,,1,csm_v3,2354.1
True,tokens_per_query,SYN-CSM-001,,1,csm_v3,2899.25
True,total_cost,SYN-CSM-003,,1,csm_v3,0.011354399999999999
True,total_cost,SYN-CSM-001,,1,csm_v3,0.01253355
True,total_cost,SYN-CSM-002,,1,csm_v3,0.00993285
True,unsupported_claim_rate,SYN-CSM-003,,1,csm_v3,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,csm_v3,1.0
True,unsupported_claim_rate,SYN-CSM-001,,1,csm_v3,1.0
