answer_confidence,has_output,insufficient_evidence,question,repetition,source_cutoff,status,system,turn_id,turn_number
0.95,True,False,What active chronic conditions are recorded for this patient?,1,2026-01-10T23:59:59+05:30,completed,csm_v4,c0a87061-3cc9-4130-a928-5fb5bec7f0e7,1
0.95,True,True,What was the baseline creatinine and eGFR on 10 January 2026?,1,2026-01-10T23:59:59+05:30,completed,csm_v4,82d7cbb4-291f-4b5f-9e0a-a7f6460d750c,2
0.8,True,False,Summarize the renal course with citations and a confidence level.,1,2026-03-20T23:59:59+05:30,completed,csm_v4,7e96aea4-87ee-47ab-8248-6d2888ea12be,20
0.8,True,False,"Using only evidence available by 8 March, did renal function appear to worsen?",1,2026-03-08T23:59:59+05:30,completed,csm_v4,e3a231c4-be31-4d7b-80be-4e24bbcaefb3,3
0.9,True,False,Which evidence supports the conclusion that renal function improved?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,4ec81cd3-40dc-4b5a-9f8b-4b4aa5fa4ed5,12
0.85,True,False,Which sources directly support the allergy history?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,2b643732-d4da-44f9-b409-e2a456f60025,11
0.95,True,False,What antibiotic allergy is currently recorded?,1,2026-02-01T23:59:59+05:30,completed,csm_v4,333aecaa-7511-4ee1-a09b-8c0fac46ed8e,1
0.9,True,False,Did the application receive the 5 March abnormal laboratory values on the same day they were valid?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,2f38c003-c9dd-4f0d-8dbc-5918707cea77,13
0.93,True,False,How is the contradiction resolved on 20 February?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,fe36bd38-519d-4a0d-874b-16854d0634c0,7
0.9,True,False,"Classify the renal follow-up priority after 20 March as urgent escalation, clinician review, or no follow-up.",1,2026-03-20T23:59:59+05:30,completed,csm_v4,8ef50b91-bf4f-4256-b033-425d531490a9,14
,True,False,Which event occurred in the patient before the 5 March renal specimen but was recorded later?,1,2026-03-10T23:59:59+05:30,completed,csm_v4,b529de87-4813-4ff0-b685-0d81d7ea728d,4
0.95,True,False,Was anaphylaxis documented in the initial allergy history?,1,2026-02-01T23:59:59+05:30,completed,csm_v4,988c9c38-aece-4969-b1c0-dee91b59ecd0,2
,True,False,How should the dehydration note change interpretation of the abnormal renal result?,1,2026-03-10T23:59:59+05:30,completed,csm_v4,840ec8c7-791a-470b-8a6c-23f27d18aa09,5
0.85,True,False,Is there sufficient evidence that the renal abnormality was permanent?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,56be159e-ca5e-4da6-8c0e-0c1f5c36461c,15
0.95,True,False,"What values in the original 5 March report were superseded, and by what corrected values?",1,2026-03-12T23:59:59+05:30,completed,csm_v4,c17ac401-1a59-43a2-a566-28e92171d5b0,6
0.95,True,False,Which record should be treated as retracted but still retained for audit?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,4043b042-a237-4206-b217-5b1bf6618c98,16
0.95,True,False,"Classify the medication-safety outcome after reconciliation: resolved, contested, or unknown.",1,2026-02-20T23:59:59+05:30,completed,csm_v4,ee08a2e6-39f9-4c39-8ece-b5fd80b7b169,14
0.95,True,False,What is the latest valid renal assessment after the corrected report but before follow-up testing?,1,2026-03-12T23:59:59+05:30,completed,csm_v4,3cc6e53a-29db-4c24-afaa-f5c176b9d06b,7
0.9,True,False,Which citation would be fabricated for the corrected creatinine: DOC-P1-005 or DOC-P1-003?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,bc7f62d9-a903-4c71-b3f2-db45e3253012,16
0.88,True,False,What contradiction entered the record on 10 February?,1,2026-02-10T23:59:59+05:30,completed,csm_v4,f82095bb-f3ee-4a14-be5b-24b6ce0ad659,3
0.9,True,False,What does the 20 March follow-up show about the renal trend?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,90e5ea5a-64cc-40b6-a144-9121871c78d3,8
0.94,True,False,Should the unsupported chat statement about anaphylactic shock update the active allergy severity?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,6b7a23b9-e8a3-44c6-9c98-a8414147c670,8
,True,False,List the renal-state versions in order from baseline through recovery.,1,2026-03-20T23:59:59+05:30,completed,csm_v4,cf506e8f-2fb2-421e-bc6c-23c8b4c50e63,17
0.95,True,False,Which state should be recomputed when the renal-function state changes?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,784a89cd-1578-4757-ab46-ed7b9361bd65,9
,True,False,Which citation is invalid support for anaphylaxis: DOC-P2-005 or CHAT-P2-003?,1,2026-02-20T23:59:59+05:30,completed,csm_v4,485a92ea-305d-4ee2-b93b-7ffa0b7899f5,12
0.95,True,False,Should the chat claim that the patient definitely has severe chronic kidney disease become an active state?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,d3e03f46-410a-4a57-951b-8aba07f9567b,10
0.95,True,False,Should the two hospital summaries count as two independent confirmations of no allergy?,1,2026-02-11T23:59:59+05:30,completed,csm_v4,f4f02776-73ff-4053-8d6e-3f7e1a6e9f60,4
0.95,True,False,"Before 12 March, what corrected creatinine value should the system report?",1,2026-03-11T23:59:59+05:30,completed,csm_v4,009a2f7d-ff0c-4d77-a519-be25e2946e06,18
0.95,True,False,Quote the exact corrected creatinine statement from the addendum.,1,2026-03-12T23:59:59+05:30,completed,csm_v4,78c13f77-64e2-4fa4-83a2-995fa23ccc85,11
0.95,True,False,Which source is the strongest evidence for the latest eGFR?,1,2026-03-20T23:59:59+05:30,completed,csm_v4,8bc5fe19-c114-45d6-8e6c-e963c0143bef,19
