patient,question_id,question_number,system,turn_id,metric_name,observation_value,applicable,reason_not_applicable,numerator,denominator,audit_file,calculation_reason
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,memory_update_accuracy,1.0,True,NULL,NULL,NULL,state_comparison_audit.csv,expected_state_transition_terms_found_in_stored_answer
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,state_accuracy,0.0,True,NULL,0,3,state_comparison_audit.csv,matched_expected_state_against_real_csm_state_table
SYN-CSM-001,11e2cf0f-e76e-4fba-b1ab-40891a8c804e,1,csm_v3,5f447e19-8c8f-4d41-adc8-6bd15bee476c,state_recovery_time,NULL,False,no_recovered_correction_state,NULL,NULL,correction_recovery_audit.csv,first_turn_recovery_credit_when_corrected_state_available
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,memory_update_accuracy,NULL,False,missing_expected_state_transitions,NULL,NULL,state_comparison_audit.csv,missing_expected_state_transitions
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,state_accuracy,NULL,False,missing_expected_state,NULL,NULL,state_comparison_audit.csv,missing_expected_state
SYN-CSM-001,2128f0cd-89b6-4185-8900-c4f5d1553c59,2,csm_v3,f400c44c-e5e1-46c0-b9a8-01b44728969e,state_recovery_time,NULL,False,no_recovered_correction_state,NULL,NULL,correction_recovery_audit.csv,first_turn_recovery_credit_when_corrected_state_available
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,memory_update_accuracy,0.0,True,NULL,NULL,NULL,state_comparison_audit.csv,expected_state_transition_terms_found_in_stored_answer
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,state_accuracy,0.0,True,NULL,0,2,state_comparison_audit.csv,matched_expected_state_against_real_csm_state_table
SYN-CSM-001,177b1db8-afe1-4202-9b3e-9a8ef7e7aded,3,csm_v3,1de091b4-1ad5-430f-90ad-85722fbd205e,state_recovery_time,NULL,False,no_recovered_correction_state,NULL,NULL,correction_recovery_audit.csv,first_turn_recovery_credit_when_corrected_state_available
SYN-CSM-001,3be7129e-5f51-4158-9f01-dfc6091679e0,4,csm_v3,65e08603-9575-4720-92d6-7ae27541c643,memory_update_accuracy,NULL,False,missing_expected_state_transitions,NULL,NULL,state_comparison_audit.csv,missing_expected_state_transitions
