metric,patient,question_ids,required_stored_data,direction,calculation
state_accuracy,SYN-CSM-001,P1-Q03;P1-Q05;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q14;P1-Q15;P1-Q17;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Compare structured predicted state fields with expected state snapshots.
state_accuracy,SYN-CSM-002,P2-Q01;P2-Q03;P2-Q05;P2-Q07;P2-Q08;P2-Q09;P2-Q14;P2-Q16;P2-Q18;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Compare structured predicted state fields with expected state snapshots.
state_accuracy,SYN-CSM-003,P3-Q01;P3-Q03;P3-Q04;P3-Q05;P3-Q08;P3-Q09;P3-Q10;P3-Q11;P3-Q12;P3-Q14;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Compare structured predicted state fields with expected state snapshots.
temporal_consistency,SYN-CSM-001,P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q13;P1-Q17;P1-Q18;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,"Score valid-time ordering, latest-valid facts, correction handling, and future-leakage avoidance."
temporal_consistency,SYN-CSM-002,P2-Q09;P2-Q13;P2-Q15;P2-Q16;P2-Q18;P2-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,"Score valid-time ordering, latest-valid facts, correction handling, and future-leakage avoidance."
temporal_consistency,SYN-CSM-003,P3-Q03;P3-Q06;P3-Q08;P3-Q09;P3-Q15;P3-Q19;P3-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,"Score valid-time ordering, latest-valid facts, correction handling, and future-leakage avoidance."
decision_f1,SYN-CSM-001,P1-Q14,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Macro-F1 over expected decision labels.
decision_f1,SYN-CSM-002,P2-Q14,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Macro-F1 over expected decision labels.
decision_f1,SYN-CSM-003,P3-Q14,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Macro-F1 over expected decision labels.
answer_accuracy,SYN-CSM-001,P1-Q01;P1-Q02;P1-Q03;P1-Q04;P1-Q05;P1-Q06;P1-Q07;P1-Q08;P1-Q09;P1-Q10;P1-Q11;P1-Q12;P1-Q13;P1-Q14;P1-Q15;P1-Q16;P1-Q17;P1-Q18;P1-Q19;P1-Q20,"experiment_outputs, experiment_claims, citations, retrieval items, LLM calls, and ground truth as applicable",Higher,Claim-level precision/recall/F1 against required and acceptable claims.
