metric_name,direction,rank,system,exact_value,n
state_accuracy,higher_is_better,1,csm_v2,0.041666666666666664,12
state_accuracy,higher_is_better,2,csm_v3,0.0,107.0
temporal_consistency,higher_is_better,1,rolling_summary,0.5606060606060607,22
temporal_consistency,higher_is_better,2,dense_rag,0.5303030303030304,22
temporal_consistency,higher_is_better,3,graph_rag,0.5151515151515152,22
temporal_consistency,higher_is_better,4,csm_v2,0.5,22
temporal_consistency,higher_is_better,5,hybrid_rag,0.4696969696969697,22
temporal_consistency,higher_is_better,6,long_context,0.4393939393939394,22
temporal_consistency,higher_is_better,7,hippo_rag,0.42424242424242437,22
decision_f1,higher_is_better,1,long_context,0.0,3
decision_f1,higher_is_better,1,rolling_summary,0.0,3
decision_f1,higher_is_better,1,dense_rag,0.0,3
decision_f1,higher_is_better,1,hybrid_rag,0.0,3
decision_f1,higher_is_better,1,graph_rag,0.0,3
decision_f1,higher_is_better,1,hippo_rag,0.0,3
decision_f1,higher_is_better,1,csm_v2,0.0,3
answer_accuracy,higher_is_better,1,graph_rag,0.1869953194953195,60
answer_accuracy,higher_is_better,2,dense_rag,0.17560532687651328,59
answer_accuracy,higher_is_better,3,hybrid_rag,0.16935621706309645,59
answer_accuracy,higher_is_better,4,hippo_rag,0.15836696260425073,59
answer_accuracy,higher_is_better,5,csm_v2,0.1392506690454951,59
answer_accuracy,higher_is_better,6,long_context,0.12628205128205128,52
answer_accuracy,higher_is_better,7,rolling_summary,0.10448343079922028,57
answer_accuracy,higher_is_better,8,csm_v3,0.0,107.0
hallucination_rate,lower_is_better,1,graph_rag,0.0027777777777777775,60
hallucination_rate,lower_is_better,2,hippo_rag,0.002824858757062147,59
hallucination_rate,lower_is_better,3,rolling_summary,0.0035087719298245615,57
hallucination_rate,lower_is_better,4,hybrid_rag,0.022598870056497175,59
hallucination_rate,lower_is_better,5,dense_rag,0.04519774011299436,59
hallucination_rate,lower_is_better,6,csm_v2,0.05084745762711865,59
hallucination_rate,lower_is_better,7,long_context,0.23717948717948717,52
hallucination_rate,lower_is_better,8,csm_v3,1.0,120.0
evidence_support_rate,higher_is_better,1,graph_rag,0.6440277777777779,60
evidence_support_rate,higher_is_better,2,hippo_rag,0.620409604519774,59
evidence_support_rate,higher_is_better,3,hybrid_rag,0.6144067796610169,59
evidence_support_rate,higher_is_better,4,dense_rag,0.5990112994350282,59
evidence_support_rate,higher_is_better,5,rolling_summary,0.5727339181286549,57
evidence_support_rate,higher_is_better,6,csm_v2,0.564366424535916,59
evidence_support_rate,higher_is_better,7,long_context,0.47716346153846156,52
evidence_support_rate,higher_is_better,8,csm_v3,0.0,120.0
unsupported_claim_rate,lower_is_better,1,graph_rag,0.0027777777777777775,60
unsupported_claim_rate,lower_is_better,2,hippo_rag,0.002824858757062147,59
unsupported_claim_rate,lower_is_better,3,rolling_summary,0.0035087719298245615,57
unsupported_claim_rate,lower_is_better,4,hybrid_rag,0.022598870056497175,59
unsupported_claim_rate,lower_is_better,5,dense_rag,0.04519774011299436,59
unsupported_claim_rate,lower_is_better,6,csm_v2,0.05084745762711865,59
unsupported_claim_rate,lower_is_better,7,long_context,0.23717948717948717,52
unsupported_claim_rate,lower_is_better,8,csm_v3,1.0,120.0
fabricated_citation_rate,lower_is_better,1,long_context,0.0,45
fabricated_citation_rate,lower_is_better,1,rolling_summary,0.0,59
fabricated_citation_rate,lower_is_better,1,hybrid_rag,0.0,59
fabricated_citation_rate,lower_is_better,1,graph_rag,0.0,60
fabricated_citation_rate,lower_is_better,1,hippo_rag,0.0,60
fabricated_citation_rate,lower_is_better,1,csm_v2,0.0,57
