answer_confidence,has_output,insufficient_evidence,question,repetition,source_cutoff,status,system,turn_id,turn_number
0.9,True,True,What contradiction entered the record on 10 February?,1,2026-02-10T23:59:59+05:30,completed,long_context,3e7a4b97-2eac-4a28-b1b8-7f9c66a49e7c,3
,True,False,What antibiotic allergy is currently recorded?,1,2026-02-01T23:59:59+05:30,completed,long_context,c3f97057-f039-4213-aa2c-05b491b6bdd9,1
0.9,True,False,What should the allergy-state status be after the duplicate hospital record is added?,1,2026-02-11T23:59:59+05:30,completed,long_context,9c059b8f-70b5-4672-8dc8-654f171c20cf,5
,True,False,Should the two hospital summaries count as two independent confirmations of no allergy?,1,2026-02-11T23:59:59+05:30,completed,long_context,45a09b1b-4f64-4364-b187-2a1f53bd8410,4
1.0,True,False,Was anaphylaxis documented in the initial allergy history?,1,2026-02-01T23:59:59+05:30,completed,long_context,d85773b2-88a0-4dd3-84c2-615bcbcd0a75,2
1.0,True,False,Should the unsupported chat statement about anaphylactic shock update the active allergy severity?,1,2026-02-20T23:59:59+05:30,completed,long_context,402f82e8-2e12-4baf-8cd8-2fbfb0adcebe,8
,True,True,"What does the external allergist letter support, and what does it not establish?",1,2026-02-18T23:59:59+05:30,completed,long_context,97056f0c-023a-4733-acd1-7138c07fd133,6
0.9,True,False,What is the latest resolved allergy state?,1,2026-02-20T23:59:59+05:30,completed,long_context,4cdbb6e1-8b18-46b0-9502-e2be6d51d303,9
,True,False,How is the contradiction resolved on 20 February?,1,2026-02-20T23:59:59+05:30,completed,long_context,b9a5c03c-e560-417f-81bd-d0f4d3d0ce56,7
1.0,True,False,Quote the exact retraction sentence from the correction notice.,1,2026-02-20T23:59:59+05:30,completed,long_context,e6d03a33-6867-4bd2-a20d-eeddc161fd14,10
,True,False,Which sources directly support the allergy history?,1,2026-02-20T23:59:59+05:30,completed,long_context,c7847114-14f6-4c86-9522-68aa01bca115,11
0.9,True,False,Which retrieved documents are redundant for the NKDA claim?,1,2026-02-20T23:59:59+05:30,completed,long_context,2b5fe016-f803-4dde-a826-81a71cf5661e,19
,True,True,Which citation is invalid support for anaphylaxis: DOC-P2-005 or CHAT-P2-003?,1,2026-02-20T23:59:59+05:30,completed,long_context,94904b89-b091-4aff-8d72-1edff494dd57,12
1.0,True,False,"What does the external allergist letter support, and what does it not establish?",1,2026-02-18T23:59:59+05:30,completed,rolling_summary,a7e4abec-6884-4001-acfb-f7c323a3ae76,6
,True,False,"What was the effective date of the historical reaction, and when was it recorded in Sustha?",1,2026-02-20T23:59:59+05:30,completed,long_context,2ee4288c-b147-49f7-8849-625a3326d27f,13
,True,False,Was anaphylaxis documented in the initial allergy history?,1,2026-02-01T23:59:59+05:30,completed,rolling_summary,738b4a20-c8b0-45d0-b8c3-5fab21b52433,2
0.9,True,False,"Classify the medication-safety outcome after reconciliation: resolved, contested, or unknown.",1,2026-02-20T23:59:59+05:30,completed,long_context,a716f57e-1409-44c7-9238-a542586e326f,14
1.0,True,False,How is the contradiction resolved on 20 February?,1,2026-02-20T23:59:59+05:30,completed,rolling_summary,f71d2561-40c8-405a-a9f5-166dcad5b168,7
,True,True,"Before 18 February, could the system use the allergist letter?",1,2026-02-17T23:59:59+05:30,completed,long_context,53262c4e-e536-439e-90b2-74d30491b542,15
1.0,True,False,Should the two hospital summaries count as two independent confirmations of no allergy?,1,2026-02-11T23:59:59+05:30,completed,rolling_summary,6dd755b1-1ca7-44d0-8541-26a14d941ef0,4
0.75,True,False,Summarize the allergy reconciliation with citations and calibrated confidence.,1,2026-02-20T23:59:59+05:30,completed,long_context,64d80cb5-c3fe-48f8-b255-fd129422d75e,20
0.95,True,False,Which record should be treated as retracted but still retained for audit?,1,2026-02-20T23:59:59+05:30,completed,long_context,aa38fcfe-b5a2-418f-83d4-0379cb328727,16
0.9,True,True,What contradiction entered the record on 10 February?,1,2026-02-10T23:59:59+05:30,completed,rolling_summary,e7f7a46e-b4f0-49c6-98bc-116ef4d5ab64,3
0.95,True,False,Does the evidence justify describing the reaction as severe anaphylaxis?,1,2026-02-20T23:59:59+05:30,completed,long_context,10a5944e-ae3a-41c7-a929-2f0ae85c6cfa,17
,True,True,What changed in the allergy state from 11 February to 20 February?,1,2026-02-20T23:59:59+05:30,completed,long_context,efd6b07c-6539-4b09-b948-4bad71b486e6,18
