activation_run_id,calculation_reason,confidence_score,dependency_score,estimated_token_cost,linked_canonical_source_ids,linked_evidence_ids,query_text,rank,relevance_score,selected,selection_reason,state_variable_id,utility_score
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,223,"[""66a24697-9176-49ad-a3c7-71d68813d9e1""]","[""92dfabfb-4b7b-4c54-942e-8e47758c0bcd""]",What antibiotic allergy is currently recorded?,1,0.6666666666666666,True,selected_state_temporal_state route=temporal_state,0341f124-0ef7-4ce2-bcd0-c930227d03c4,0.8509999995767199
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,231,"[""9fe1621d-2a1f-4690-96ba-cae5df236aec""]","[""55cb5740-453b-4357-be8c-ccc0b0990139""]",What antibiotic allergy is currently recorded?,2,0.5,True,selected_state_temporal_state route=temporal_state,52f07111-cf2f-49f9-9fea-e07e28bade89,0.7809999996478424
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,209,"[""bf6612ab-30cb-473d-90fc-f63f72980a9c""]","[""9e8206ee-8026-4b3c-b8fc-af9c305f421a""]",What antibiotic allergy is currently recorded?,3,0.5,True,selected_state_temporal_state route=temporal_state,6ef23d0d-1b30-42e0-a74f-e14d2ebf4d0c,0.7359999994100761
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,190,"[""8dccc08a-484a-438f-ac5c-ac156ef18e9c""]","[""89497b29-dc6f-48ce-a253-2327de872a39""]",What antibiotic allergy is currently recorded?,4,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,02f79d21-5349-4201-a42c-23bc5f1ecf15,0.7109999996117237
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,183,"[""c0565441-cb26-4c90-ac56-6ae55e7d4dac""]","[""537c984a-9f53-4c38-a512-1aaad0fa627a""]",What antibiotic allergy is currently recorded?,5,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,36032e0b-0651-4e25-984f-c0dd8f9cb0f1,0.6659999995418626
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,207,"[""8bb866c4-e823-4913-b09f-0eec883daa68""]","[""80caa937-3def-4c0e-b1d2-bb61e2608c49""]",What antibiotic allergy is currently recorded?,6,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,942b5a6c-84b2-4f38-b9ff-f03936d195d2,0.6659999994971214
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,0.3333333333333333,200,"[""66e57bbe-fb68-43c7-810c-23a150eaae26""]","[""35e29a3d-244c-45e2-aa4d-0df7291a2e42""]",What antibiotic allergy is currently recorded?,7,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,ddf2daff-b1f3-41b2-921b-4c5585a7770b,0.639968697385586
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.65,1.0,342,"[""8debd3a9-7d56-4f30-8e39-6c382f8eac5f""]","[""11496469-88d2-4db6-ab67-b82d32a48660""]",What antibiotic allergy is currently recorded?,8,0.6666666666666666,True,selected_state_temporal_state route=temporal_state,ea38eac6-6625-448f-8fb6-5e1ba7d7f342,0.5910839997843588
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.95,0.0,187,"[""91dfb1e3-dff7-4b57-92d0-c42302361948""]","[""1c82875f-5201-409c-9f9c-e9724f7c78fc""]",What antibiotic allergy is currently recorded?,9,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,2b811ab9-768d-455c-9eef-5bf6ba0f3127,0.5616353640076349
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.5,1.0,252,"[""2c986fe9-ee7f-41b2-b1fd-edbbef8edf2f""]","[""6d06154b-c063-40d9-8bd8-1c52bf58d0dc""]",What antibiotic allergy is currently recorded?,10,0.5,True,selected_state_temporal_state route=temporal_state,5c447897-7406-4981-a6b0-709cfd7ae3ab,0.5154239997542391
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.65,1.0,342,"[""e25767af-00d0-4d6e-b3ce-2e327cf2b194""]","[""b0c374f2-5fd0-4ad6-ae24-0e0b8326b3c0""]",What antibiotic allergy is currently recorded?,11,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,1f5961ba-5944-44ff-a64e-611e0f0ef679,0.48188399984218794
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.5,1.0,248,"[""a39c5e57-70b4-4767-bbb9-3dbb713993eb""]","[""e254406a-70f4-4ed3-94a6-09ed6a33435e""]",What antibiotic allergy is currently recorded?,12,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,f840ad38-86e9-434e-b9f6-914f4f0e57b0,0.4608239998153495
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.5,0.6666666666666666,227,"[""aa836cec-1a9e-4c3b-a670-d260c01136a5""]","[""cef39e89-6006-4b7e-9305-bda092667263""]",What antibiotic allergy is currently recorded?,13,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,128b1bb4-95e2-48c4-a2a9-6e053172864c,0.4314195840283182
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.5,0.3333333333333333,223,"[""df43e673-2678-44ab-86ee-2016f737e9cd""]","[""97a7ef47-6754-4cec-8585-97f258c856e9""]",What antibiotic allergy is currently recorded?,14,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,48a5d121-513e-4cc9-a153-07d938ba0968,0.4054195840156683
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.65,0.0,240,"[""3a49520b-8fee-45f8-934d-9d52db21acf5""]","[""1177e1a4-51e2-4990-bc38-fd888aecfabd""]",What antibiotic allergy is currently recorded?,15,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,2d52b625-2c85-4db2-ae97-3c2d3dff5cd1,0.40047958403430883
b5454be1-4efb-4423-a327-f5dbc3acfd48,activated_state_resolved_through_csm_state_evidence_links,0.65,0.0,240,"[""c1b10f0c-5675-4c5f-bffc-f24e9f380099""]","[""30ecf6cb-e915-4566-9468-ad5b834180e2""]",What antibiotic allergy is currently recorded?,16,0.3333333333333333,True,selected_state_temporal_state route=temporal_state,cc0ce5b7-7bd2-42f6-90b0-8b1187b36585,0.4004795840218835
4e609828-b0a0-46df-9696-c6fbc68d2e63,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,222,"[""66a24697-9176-49ad-a3c7-71d68813d9e1""]","[""92dfabfb-4b7b-4c54-942e-8e47758c0bcd""]",Was anaphylaxis documented in the initial allergy history?,1,0.375,True,selected_state_state_first route=state_first,0341f124-0ef7-4ce2-bcd0-c930227d03c4,0.7284997570865371
4e609828-b0a0-46df-9696-c6fbc68d2e63,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,231,"[""9fe1621d-2a1f-4690-96ba-cae5df236aec""]","[""55cb5740-453b-4357-be8c-ccc0b0990139""]",Was anaphylaxis documented in the initial allergy history?,2,0.25,True,selected_state_state_first route=state_first,52f07111-cf2f-49f9-9fea-e07e28bade89,0.6309997571576458
4e609828-b0a0-46df-9696-c6fbc68d2e63,activated_state_resolved_through_csm_state_evidence_links,0.95,1.0,208,"[""bf6612ab-30cb-473d-90fc-f63f72980a9c""]","[""9e8206ee-8026-4b3c-b8fc-af9c305f421a""]",Was anaphylaxis documented in the initial allergy history?,3,0.125,True,selected_state_state_first route=state_first,6ef23d0d-1b30-42e0-a74f-e14d2ebf4d0c,0.578499756919908
