confidence_interval,corrected_p_value,details,effect_size,metric_name,raw_p_value,sample_count,statistic,system_a,system_b,test_name
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,csm,dense_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,csm,graph_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,csm,hippo_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,csm,hybrid_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,csm,long_context,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,csm,rolling_summary,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,dense_rag,graph_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,dense_rag,hippo_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,dense_rag,hybrid_rag,scoped_paired_difference_normal_approximation
"{""high"": 0.0, ""level"": 0.95, ""low"": 0.0}",,"{""differences"": [0.0], ""paired_keys"": [[""8e262a8f-3296-42f8-8ce0-cd6637098f9c"", 1]], ""scope"": {""patients"": [""SYN-CSM-003""], ""questions"": ""all"", ""repetitions"": ""all"", ""systems"": [""csm"", ""dense_rag"", ""graph_rag"", ""hippo_rag"", ""hybrid_rag"", ""long_context"", ""rolling_summary""]}}",,answer_accuracy,,1,0.0,dense_rag,long_context,scoped_paired_difference_normal_approximation
