corrected_p_value,effect_size,metric_name,raw_p_value,sample_count,system_a,system_b
,,answer_accuracy,,1,csm,dense_rag
,,answer_accuracy,,1,csm,graph_rag
,,answer_accuracy,,1,csm,hippo_rag
,,answer_accuracy,,1,csm,hybrid_rag
,,answer_accuracy,,1,csm,long_context
,,answer_accuracy,,1,csm,rolling_summary
,,answer_accuracy,,1,dense_rag,graph_rag
,,answer_accuracy,,1,dense_rag,hippo_rag
,,answer_accuracy,,1,dense_rag,hybrid_rag
,,answer_accuracy,,1,dense_rag,long_context
,,answer_accuracy,,1,dense_rag,rolling_summary
,,answer_accuracy,,1,graph_rag,hippo_rag
,,answer_accuracy,,1,graph_rag,hybrid_rag
,,answer_accuracy,,1,graph_rag,long_context
,,answer_accuracy,,1,graph_rag,rolling_summary
,,answer_accuracy,,1,hippo_rag,hybrid_rag
,,answer_accuracy,,1,hippo_rag,long_context
,,answer_accuracy,,1,hippo_rag,rolling_summary
,,answer_accuracy,,1,hybrid_rag,long_context
,,answer_accuracy,,1,hybrid_rag,rolling_summary
,,answer_accuracy,,1,long_context,rolling_summary
,,evidence_support_rate,,1,csm,dense_rag
,,evidence_support_rate,,1,csm,graph_rag
,,evidence_support_rate,,1,csm,hippo_rag
,,evidence_support_rate,,1,csm,hybrid_rag
,,evidence_support_rate,,1,csm,long_context
,,evidence_support_rate,,1,csm,rolling_summary
,,evidence_support_rate,,1,dense_rag,graph_rag
,,evidence_support_rate,,1,dense_rag,hippo_rag
,,evidence_support_rate,,1,dense_rag,hybrid_rag
,,evidence_support_rate,,1,dense_rag,long_context
,,evidence_support_rate,,1,dense_rag,rolling_summary
,,evidence_support_rate,,1,graph_rag,hippo_rag
,,evidence_support_rate,,1,graph_rag,hybrid_rag
,,evidence_support_rate,,1,graph_rag,long_context
,,evidence_support_rate,,1,graph_rag,rolling_summary
,,evidence_support_rate,,1,hippo_rag,hybrid_rag
,,evidence_support_rate,,1,hippo_rag,long_context
,,evidence_support_rate,,1,hippo_rag,rolling_summary
,,evidence_support_rate,,1,hybrid_rag,long_context
,,evidence_support_rate,,1,hybrid_rag,rolling_summary
,,evidence_support_rate,,1,long_context,rolling_summary
,,expected_calibration_error,,1,csm,dense_rag
,,expected_calibration_error,,1,csm,graph_rag
,,expected_calibration_error,,1,csm,hippo_rag
,,expected_calibration_error,,1,csm,hybrid_rag
,,expected_calibration_error,,1,csm,long_context
,,expected_calibration_error,,1,csm,rolling_summary
,,expected_calibration_error,,1,dense_rag,graph_rag
,,expected_calibration_error,,1,dense_rag,hippo_rag
,,expected_calibration_error,,1,dense_rag,hybrid_rag
,,expected_calibration_error,,1,dense_rag,long_context
,,expected_calibration_error,,1,dense_rag,rolling_summary
,,expected_calibration_error,,1,graph_rag,hippo_rag
,,expected_calibration_error,,1,graph_rag,hybrid_rag
,,expected_calibration_error,,1,graph_rag,long_context
,,expected_calibration_error,,1,graph_rag,rolling_summary
,,expected_calibration_error,,1,hippo_rag,hybrid_rag
,,expected_calibration_error,,1,hippo_rag,long_context
,,expected_calibration_error,,1,hippo_rag,rolling_summary
,,expected_calibration_error,,1,hybrid_rag,long_context
,,expected_calibration_error,,1,hybrid_rag,rolling_summary
,,expected_calibration_error,,1,long_context,rolling_summary
,,fabricated_citation_rate,,1,csm,dense_rag
,,fabricated_citation_rate,,1,csm,graph_rag
,,fabricated_citation_rate,,1,csm,hippo_rag
,,fabricated_citation_rate,,1,csm,hybrid_rag
,,fabricated_citation_rate,,1,csm,long_context
,,fabricated_citation_rate,,1,csm,rolling_summary
,,fabricated_citation_rate,,1,dense_rag,graph_rag
,,fabricated_citation_rate,,1,dense_rag,hippo_rag
,,fabricated_citation_rate,,1,dense_rag,hybrid_rag
,,fabricated_citation_rate,,1,dense_rag,long_context
,,fabricated_citation_rate,,1,dense_rag,rolling_summary
,,fabricated_citation_rate,,1,graph_rag,hippo_rag
,,fabricated_citation_rate,,1,graph_rag,hybrid_rag
,,fabricated_citation_rate,,1,graph_rag,long_context
,,fabricated_citation_rate,,1,graph_rag,rolling_summary
