metric_name,observation_count,rank,system,value
state_accuracy,7,1,csm,0.0
temporal_consistency,9,1,rolling_summary,0.7037037037037037
temporal_consistency,9,2,graph_rag,0.5555555555555556
temporal_consistency,9,3,hybrid_rag,0.5185185185185185
temporal_consistency,9,4,dense_rag,0.48148148148148145
temporal_consistency,9,5,long_context,0.4444444444444444
temporal_consistency,9,5,hippo_rag,0.4444444444444444
temporal_consistency,9,7,csm,0.4074074074074074
decision_f1,1,1,long_context,0.0
decision_f1,1,1,rolling_summary,0.0
decision_f1,1,1,dense_rag,0.0
decision_f1,1,1,hybrid_rag,0.0
decision_f1,1,1,graph_rag,0.0
decision_f1,1,1,hippo_rag,0.0
decision_f1,1,1,csm,0.0
answer_accuracy,20,1,graph_rag,0.1801190476190476
answer_accuracy,19,2,dense_rag,0.1565580618212197
answer_accuracy,19,3,csm,0.1523391812865497
answer_accuracy,20,4,hippo_rag,0.14444444444444443
answer_accuracy,14,5,long_context,0.14285714285714285
answer_accuracy,19,6,hybrid_rag,0.13696741854636593
answer_accuracy,18,7,rolling_summary,0.04197530864197531
hallucination_rate,19,1,csm,0.0
hallucination_rate,20,2,graph_rag,0.008333333333333333
hallucination_rate,20,2,hippo_rag,0.008333333333333333
hallucination_rate,18,4,rolling_summary,0.011111111111111112
hallucination_rate,19,5,hybrid_rag,0.02631578947368421
hallucination_rate,19,6,dense_rag,0.05263157894736842
hallucination_rate,14,7,long_context,0.29166666666666663
evidence_support_rate,20,1,graph_rag,0.6395833333333333
evidence_support_rate,20,2,hippo_rag,0.6104166666666666
evidence_support_rate,19,3,csm,0.6096491228070174
evidence_support_rate,19,4,hybrid_rag,0.5942982456140351
evidence_support_rate,19,5,dense_rag,0.5767543859649124
evidence_support_rate,18,6,rolling_summary,0.5208333333333334
evidence_support_rate,14,7,long_context,0.4613095238095238
unsupported_claim_rate,19,1,csm,0.0
unsupported_claim_rate,20,2,graph_rag,0.008333333333333333
unsupported_claim_rate,20,2,hippo_rag,0.008333333333333333
unsupported_claim_rate,18,4,rolling_summary,0.011111111111111112
unsupported_claim_rate,19,5,hybrid_rag,0.02631578947368421
unsupported_claim_rate,19,6,dense_rag,0.05263157894736842
unsupported_claim_rate,14,7,long_context,0.29166666666666663
fabricated_citation_rate,13,1,long_context,0.0
fabricated_citation_rate,19,1,rolling_summary,0.0
fabricated_citation_rate,19,1,dense_rag,0.0
fabricated_citation_rate,19,1,hybrid_rag,0.0
fabricated_citation_rate,20,1,graph_rag,0.0
fabricated_citation_rate,20,1,hippo_rag,0.0
fabricated_citation_rate,19,1,csm,0.0
faithfulness,20,1,graph_rag,0.6395833333333333
faithfulness,20,2,hippo_rag,0.6104166666666666
faithfulness,19,3,csm,0.6096491228070174
faithfulness,19,4,hybrid_rag,0.5942982456140351
faithfulness,19,5,dense_rag,0.5767543859649124
faithfulness,18,6,rolling_summary,0.5208333333333334
faithfulness,14,7,long_context,0.4613095238095238
groundedness,20,1,graph_rag,0.6395833333333333
groundedness,20,2,hippo_rag,0.6104166666666666
