applicable,metric_name,patient_code,reason_not_applicable,repetition,system,value
True,answer_accuracy,SYN-CSM-002,,1,long_context,0.0
True,answer_accuracy,SYN-CSM-002,,1,hippo_rag,0.0
True,answer_accuracy,SYN-CSM-002,,1,hybrid_rag,0.0
True,answer_accuracy,SYN-CSM-002,,1,rolling_summary,0.0
True,answer_accuracy,SYN-CSM-002,,1,csm,0.0
True,answer_accuracy,SYN-CSM-002,,1,dense_rag,0.0
True,answer_accuracy,SYN-CSM-002,,1,graph_rag,0.0
True,contradiction_handling,SYN-CSM-002,,1,hybrid_rag,0.0
True,contradiction_handling,SYN-CSM-002,,1,rolling_summary,0.0
True,contradiction_handling,SYN-CSM-002,,1,graph_rag,0.0
True,contradiction_handling,SYN-CSM-002,,1,csm,0.0
True,contradiction_handling,SYN-CSM-002,,1,hippo_rag,0.0
True,contradiction_handling,SYN-CSM-002,,1,dense_rag,0.0
True,contradiction_handling,SYN-CSM-002,,1,long_context,0.0
True,correction_recovery,SYN-CSM-002,,1,csm,0.0
True,correction_recovery,SYN-CSM-002,,1,hybrid_rag,0.0
True,correction_recovery,SYN-CSM-002,,1,graph_rag,0.0
True,correction_recovery,SYN-CSM-002,,1,hippo_rag,0.0
True,correction_recovery,SYN-CSM-002,,1,rolling_summary,0.0
True,correction_recovery,SYN-CSM-002,,1,dense_rag,0.0
True,correction_recovery,SYN-CSM-002,,1,long_context,0.0
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,hippo_rag,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,hybrid_rag,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,rolling_summary,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,csm,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,long_context,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,dense_rag,
False,decision_f1,SYN-CSM-002,missing_predicted_decision_labels,1,graph_rag,
True,evidence_support_rate,SYN-CSM-002,,1,hybrid_rag,0.0
True,evidence_support_rate,SYN-CSM-002,,1,dense_rag,0.0
True,evidence_support_rate,SYN-CSM-002,,1,long_context,0.0
True,evidence_support_rate,SYN-CSM-002,,1,graph_rag,0.0
True,evidence_support_rate,SYN-CSM-002,,1,rolling_summary,0.0
True,evidence_support_rate,SYN-CSM-002,,1,csm,0.0
True,evidence_support_rate,SYN-CSM-002,,1,hippo_rag,0.0
True,expected_calibration_error,SYN-CSM-002,,1,csm,0.9169230769230766
True,expected_calibration_error,SYN-CSM-002,,1,graph_rag,0.9378378378378376
True,expected_calibration_error,SYN-CSM-002,,1,long_context,0.8979166666666666
True,expected_calibration_error,SYN-CSM-002,,1,rolling_summary,0.9553571428571426
True,expected_calibration_error,SYN-CSM-002,,1,hippo_rag,0.9366666666666664
True,expected_calibration_error,SYN-CSM-002,,1,dense_rag,0.8358974358974358
True,expected_calibration_error,SYN-CSM-002,,1,hybrid_rag,0.8302380952380948
True,fabricated_citation_rate,SYN-CSM-002,,1,hybrid_rag,0.24242424242424243
True,fabricated_citation_rate,SYN-CSM-002,,1,csm,0.36363636363636365
True,fabricated_citation_rate,SYN-CSM-002,,1,hippo_rag,0.26666666666666666
True,fabricated_citation_rate,SYN-CSM-002,,1,rolling_summary,0.47058823529411764
True,fabricated_citation_rate,SYN-CSM-002,,1,dense_rag,0.2777777777777778
True,fabricated_citation_rate,SYN-CSM-002,,1,long_context,0.5
True,fabricated_citation_rate,SYN-CSM-002,,1,graph_rag,0.27586206896551724
True,faithfulness,SYN-CSM-002,,1,hippo_rag,1.0
True,faithfulness,SYN-CSM-002,,1,rolling_summary,0.9714285714285714
True,faithfulness,SYN-CSM-002,,1,csm,0.9069767441860465
True,faithfulness,SYN-CSM-002,,1,graph_rag,1.0
True,faithfulness,SYN-CSM-002,,1,dense_rag,0.9069767441860465
True,faithfulness,SYN-CSM-002,,1,long_context,0.8484848484848485
True,faithfulness,SYN-CSM-002,,1,hybrid_rag,0.9534883720930233
True,groundedness,SYN-CSM-002,,1,graph_rag,1.0
True,groundedness,SYN-CSM-002,,1,hippo_rag,1.0
True,groundedness,SYN-CSM-002,,1,long_context,0.8484848484848485
True,groundedness,SYN-CSM-002,,1,hybrid_rag,0.9534883720930233
True,groundedness,SYN-CSM-002,,1,dense_rag,0.9069767441860465
True,groundedness,SYN-CSM-002,,1,csm,0.9069767441860465
True,groundedness,SYN-CSM-002,,1,rolling_summary,0.9714285714285714
True,hallucination_rate,SYN-CSM-002,,1,hybrid_rag,1.0
True,hallucination_rate,SYN-CSM-002,,1,long_context,1.0
True,hallucination_rate,SYN-CSM-002,,1,rolling_summary,1.0
True,hallucination_rate,SYN-CSM-002,,1,csm,1.0
True,hallucination_rate,SYN-CSM-002,,1,dense_rag,1.0
True,hallucination_rate,SYN-CSM-002,,1,graph_rag,1.0
True,hallucination_rate,SYN-CSM-002,,1,hippo_rag,1.0
True,lineage_citation_f1,SYN-CSM-002,,1,rolling_summary,0.15384615384615383
True,lineage_citation_f1,SYN-CSM-002,,1,long_context,0.2105263157894737
True,lineage_citation_f1,SYN-CSM-002,,1,hybrid_rag,0.28571428571428575
True,lineage_citation_f1,SYN-CSM-002,,1,dense_rag,0.3111111111111111
True,lineage_citation_f1,SYN-CSM-002,,1,hippo_rag,0.20512820512820512
True,lineage_citation_f1,SYN-CSM-002,,1,graph_rag,0.21052631578947367
True,lineage_citation_f1,SYN-CSM-002,,1,csm,0.1290322580645161
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,hybrid_rag,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,long_context,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,dense_rag,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,graph_rag,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,csm,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,rolling_summary,
False,memory_update_accuracy,SYN-CSM-002,missing_generated_state_transitions,1,hippo_rag,
True,p95_latency,SYN-CSM-002,,1,hybrid_rag,127772.05
True,p95_latency,SYN-CSM-002,,1,dense_rag,80845.05000000003
True,p95_latency,SYN-CSM-002,,1,rolling_summary,66710.45
True,p95_latency,SYN-CSM-002,,1,long_context,27226.65
True,p95_latency,SYN-CSM-002,,1,csm,127300.15
True,p95_latency,SYN-CSM-002,,1,graph_rag,128492.1
True,p95_latency,SYN-CSM-002,,1,hippo_rag,128433.6
True,retrieval_precision,SYN-CSM-002,,1,csm,0.1111111111111111
True,retrieval_precision,SYN-CSM-002,,1,hippo_rag,0.19444444444444445
True,retrieval_precision,SYN-CSM-002,,1,graph_rag,0.2
True,retrieval_precision,SYN-CSM-002,,1,hybrid_rag,0.2
True,retrieval_precision,SYN-CSM-002,,1,long_context,0.25
True,retrieval_precision,SYN-CSM-002,,1,dense_rag,0.19444444444444445
True,retrieval_precision,SYN-CSM-002,,1,rolling_summary,0.18181818181818182
True,retrieval_recall,SYN-CSM-002,,1,hybrid_rag,0.7777777777777778
True,retrieval_recall,SYN-CSM-002,,1,long_context,0.2222222222222222
True,retrieval_recall,SYN-CSM-002,,1,rolling_summary,0.2222222222222222
True,retrieval_recall,SYN-CSM-002,,1,dense_rag,0.7777777777777778
True,retrieval_recall,SYN-CSM-002,,1,graph_rag,0.7777777777777778
True,retrieval_recall,SYN-CSM-002,,1,csm,0.3333333333333333
True,retrieval_recall,SYN-CSM-002,,1,hippo_rag,0.7777777777777778
True,state_accuracy,SYN-CSM-002,,1,rolling_summary,0.0
True,state_accuracy,SYN-CSM-002,,1,dense_rag,0.0
True,state_accuracy,SYN-CSM-002,,1,hippo_rag,0.0
True,state_accuracy,SYN-CSM-002,,1,long_context,0.0
True,state_accuracy,SYN-CSM-002,,1,hybrid_rag,0.0
True,state_accuracy,SYN-CSM-002,,1,graph_rag,0.0
True,state_accuracy,SYN-CSM-002,,1,csm,0.0
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,hybrid_rag,
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,long_context,
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,rolling_summary,
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,dense_rag,
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,graph_rag,
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,hippo_rag,
False,state_recovery_time,SYN-CSM-002,no_recovery_event,1,csm,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,hippo_rag,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,rolling_summary,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,graph_rag,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,long_context,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,csm,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,hybrid_rag,
False,temporal_consistency,SYN-CSM-002,missing_temporal_ground_truth,1,dense_rag,
True,tokens_per_query,SYN-CSM-002,,1,dense_rag,1975.7
True,tokens_per_query,SYN-CSM-002,,1,hippo_rag,2200.15
True,tokens_per_query,SYN-CSM-002,,1,graph_rag,2180.6
True,tokens_per_query,SYN-CSM-002,,1,hybrid_rag,2103.75
True,tokens_per_query,SYN-CSM-002,,1,rolling_summary,2428.5
True,tokens_per_query,SYN-CSM-002,,1,csm,2836.25
True,tokens_per_query,SYN-CSM-002,,1,long_context,1522.1
True,total_cost,SYN-CSM-002,,1,dense_rag,0.009772349999999999
True,total_cost,SYN-CSM-002,,1,csm,0.011775299999999999
True,total_cost,SYN-CSM-002,,1,hippo_rag,0.0104052
True,total_cost,SYN-CSM-002,,1,long_context,0.0072645
True,total_cost,SYN-CSM-002,,1,graph_rag,0.009974849999999999
True,total_cost,SYN-CSM-002,,1,hybrid_rag,0.0100071
True,total_cost,SYN-CSM-002,,1,rolling_summary,0.01086435
True,unsupported_claim_rate,SYN-CSM-002,,1,rolling_summary,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,csm,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,dense_rag,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,hippo_rag,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,hybrid_rag,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,graph_rag,1.0
True,unsupported_claim_rate,SYN-CSM-002,,1,long_context,1.0
